ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152,word 153,word 154,word 155,word 156,word 157,word 158,word 159,word 160,word 161
2016,water,fire,breath,air,smoke,burn,hurt,pain,injury,accident,car,truck,delivery,order,buy,shop,money,work,job,paycheck,bank,food,water,drink,alcohol,party,friends,family,home,bed,sleep,dream,nightmare,horror,movie,sad,happy,good,time,clock,tick,bite,eat,dinner,candlelight,fire,forest,tree,christmas,religion,church, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2017,body,hand,finger,bone,nail,calcium,mineral,rock,mountain,boulder,pebble,lake,water,fish,fresh,scales,tail,gill,fin,star,wars,rocket,fire,explosion,debris,rubble,house,home,painting,field,grass,cow,animal,pet,cat,dog,fish,ferret,run,play,ball,park,baseball,friends,plate,slide,jump,exercise,run,jump,hurdle,olympics,greece,rome,empire,conquest,war,iran,iraq,persia,prince,spices,elephant,tusk,trunk,car,truck,bus,bicycle,transportation,plane,trains,automobiles,wheel,roads,headlights,deer,crash,bumper,dead,debt,income,taxes,government,roads,bridge,water,pond,creek,wind,trees,leaves,sticks,berries,woods,trail,dirt,loam,core,molten,volcano,explode,ash,smoke,cigarette,craving,addiction,good,bad,drugs,expensive, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2019,body,weight,scale,bathroom,clean,relax,holiday,fun,pleasure,off,less,rest,sleep,pillow,back,pain,wake,work,drive,radio,lunch,music,cafe,coffee,creamer,tip,car,toll,road,jam,frustration,impatient,wait,dentist,room,annually,insurance,bill,monthly,card,mail,family,friends,connection,post,communication,oversea,move,neighbor,sale,house,state,seattle,weather,stress,gloomy,change,west,east,fly,travel,trip,happy,eat,break,schedule,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2021,body,brain,thought,idea,work,boring,sharing,family,dinner,car,truck,road,sky,trees,deer,pig,sun,summer,swimmingpool,water,cool,lake,cottage,vacation,beer,bbq,tasty,music,silence,calm,satisfaction,careless,pleasure,nothing,radio,kitchen,soup,mother,kind,modesty,love,childhood,parents,brother,miss,lost,distance,longing,memory,hard,forest,cow,grandmother,country,field,potatoes,tracktor,machinery,barn,animals,air,cousins,boar,space,healthy,ricer, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2022,body,heart,blood,vessel,vase,flower,petal,bike,path,walking,trail,river,portland,marina,boat,motor,car,parking,lot,space,station,radio,music,song,artist,painting,museum,history,class,school,shooting,range,farm,cow,milk,cereal,grain,wheat,crackers,cheese,sandwich,mayo,eggs,chicken,beak,peck,tree,squirrell,nuts,acorn,oak,maple,syrupo,pancakes,pan,oven,hot,desert,camel,hump,wednesday,middle,between,rock,stone,quarry,machinery,tractor,gasoline,dinosaurs,birds,falcomn,talons,grab,hand,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2023,water,air,head,cheese,head,space,cadet,academy,sports,arena,hockey,puck,man,ear,corn,cob,pipe,weed,tobacco,plant,based,af,real,far,east,diploma,aid,red,cross,bear,trap,music,ear,phone,call,me,ogre,shrek,ball,court,house,doctor,john,deere,bra,strap,boot,licker,corn,maze,runner,trap,pear,lord,dangle,cane,pole,vault,secure,money,pit,barbecue,sauce,boss,baby,bear,love,me,self,help,perish,louisiana,sauce,rocket,scene,kid,chaplin,black,ball,court,night,owl,libra,mom,heart,jewelry,shine,sparkle,sprinkle,cupcake,birthday,girl,daughter,angel,courtney,cox,communications,sos,gravy,boat,house,plant,nuclear,family,fight,fa, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2024,body,hair,curly,wavy,shampoo,wash,wet,dry,style,updo,wedding,marriage,spouse,love,relationships,endurance,strength,courage,bold,outgoing,social,people,friends,happy,life,live,today,future,past,present,hour,minute,second,clock,timer,speed,race,winner,loser,patience,wait,worthy,money,rich,luxury,homes,house,things,ownership,mortgage,debt,credit,unsecured,car, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2025,water,drink,juice,orange,fruit,strawberry,lemonade,cold,ice,winter,spring,summer,fall,leaves,trees,green,tea,hot,cold,icecream,frozen,elsa,movie,theater,popcorn,salt,pepper,spice,garlic,food,nutrition,healthy,diet,carbs,cheese,sandwich,subway,station,train,travel,plane,fly,air,oxygen,tv,shows,comedy,movies,date,restaurant,eat,steak,knife,cutlery,form,fitting,shirt,clothes,pants,shirt,cotton,balls,playing,sports,football,crowds,beer,tailgating,grill,summer,barbeque,friends,party,alcohol,hangover,juice,apple,fruit,grapes,wine,glass,cup,bowl,super,great,fantastic,four,number,math,division,teams,sports,basketball,ball,children,fun,beach,vacation,car,roadtrip,highway,travel,agent,sportys, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2026,body,part,car,drive,home,family,love,life,kids,future,far,near,family,life,home,love,everything,work,money,expenses,bills,food,dinner,what,decide,hard,easy,walking,exercise,run,walk,jog,sprint,fast,slow,snail,turtle,fish,swim,summer,sunshine,storms,rain,noise,loud,music,enjoyment,fun,hiking,mountains,snow,cold,winter,blanket,soft,cotton,plant,food,pizza,lunch,ham,pig,farm,goat,milk,drink,thirst,water,ice,frozen,movie,entertainment,bowling,ball,baseball,bat,dark,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2027,water,drink,cup,bowl,food,fries,ketchup,dip,eat,chew,swallow,digest,bowel,toilet,paper,wipe,clean,snaitary,bathroom,room,bedroom,bed,sleep,rest,good,positive,happy,smile,tetth,dentist,chair,work,office,window,view,look,birds,tree,sky,outdoors,space,world,big,galaxy,stars,planets,mars,venus,uranus,pluto,saturn,jupiter,venus,outerspace,pilot,spacecraft,astronaut,training,flying,suit,air,cabin,cramped,launch,takeoff,station,career,college,work,intern,teacher,classroom,book,desk,recess,lunch,water,cold,bottle,spring,filtered,re, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2029,water,life,people,family,daughter,mother,grandma,grandpa,aunt,uncle,brother,daughter,son,roots,tree,maple,oak,shrubs,bush,flowe,insects,flies,ants,fireants,cricket,firefly,mouse,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2030,body,part,time,zone,out,door,way,home,base,camp,ground,out,door,jamb,jelly,stone,put,down,ramp,up,side,bar,tab,coke,can,worms,fishing,rod,reel,film,movie,house,cards,deck,boat,ramp,art,house,home,plate,dinner,time,travel,way,apart,together,with,between,lovers,spat,spit,roasted,comedy,channel,voices,listen,closely,held,over,time,out,come,heer,with,out,side,bar,tab,pull,push,down,town,city,village,center,orb,ball,chain,link,fence,epee,sword,crossword,puzzle,over,kill,dead,duck,down,comfot, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2031,body,soap,bar,beer,wine,cheese,grapes,fruit,strawberry,cherry,grape,watermelon,chips,salty,pepper,spicey,mexican,food,tamale,enchilada,burrito,taco,lettuce,tomatoe,garden,planting,growing,blossoming,flowers,vegetables,watering,weeding,watching,waiting,enjoying,home,relaxing,echo,smart,interactive,turking,vacation,cruise,hawaii,alaska,western,caribbean,barbados,solstice,edge,oviation,freedom,liberty,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2032,water,drink,juice,orange,tree,forest,green,blue,sky,clouds,rain,wet,puddle,ground,street,house,roof,brick,red,blood,arm,leg,walk,run,fast,race,winner,trophy,gold,metal,gun,shoot,bullet,black,night,stars,moon,space,rocket,car,drive,dad,mom,family,house,love,dinner,food,chicken,meat,bones,tough,white,black,night,sleep,bed,dreams,rainbow,colors,rain,water,cold,snow,mountain,forest,trees,fresh,animals,bugs,little,pets,dog,me, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2033,water,liquid,chemistry,science,school,students,learn,practice,sports,baseball,field,flowers,bright,cheery,happy,smile,face,body,human,primate,monkey,animals,dog,love,heart,organ,donor,charity,non-profit,corporate,mundane,bland,food,hotdog,ketchup,mustard,seed,grow,plant,tree,apple,fruit,strawberry,jam,preserves,jelly,donut,pastry,danish,country,continent,ocean,fish,school,class,desk,hard,difficult,tough,cookie,chocolate,vanilla,cone,shape,triangle,three,number,order,restaurant,dining,eating,drinking,alcohol,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2034,water,pail,carry,heavy,weight,lift,elevator,up,down,stairs,walk,way,forward,backward,turn,style,fashion,dress,coat,hot,cold,water,fill,hole,dig,shovel,dirt,clean,wash,clothes,wear,dress,sweater,warm,weather,power,electric,cord,plug,use,bill,electric,washer,dryer,machine, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2035,body,weight,loss,home,viewer,television,law,variety,magazine,papercut,bandaid,tan,pants,slacks,black,car,road,potholes,tar,sticky,rice,grains,wheat,farmer,overalls,silo,water,sea,seahorse,male,man,date,annoyed,frown,turns,corners,stores,mall,empty,sales,expensive,quality,sleep,restless,shows,broadway,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2036,water,can,car,road,street,lights,fixture,sports,ball,game,video,televison,movie,actor,fake,news,weather,rain,storm,sand,castle,king,crown,vodka,drink,cup,ice,cold,freeze,icecream,scoop,investigate,detective,clue,game,play,spectate,event,theater,stage,couch,teacher,student,learn,study,book,paper,tree,forest,animal,zoo,cage,shark,ocean,wave,greeting,welcome,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2037,body,arm,hand,fingers,toes,foot,ankle,leg,knee,thigh,pelvis,torso,stomach,chest,back,shoulders,spine,tailbone,neck,skull,face,ears,eyes,nose,lips,teeth,mouth,tongue,throat,intestines,bowels,buttocks,sit,stand,run,jog,walk,skip,hop,jump,exercise,weights,pullups,situps,stretch,pants,slacks,jeans,de, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2038,body,beer,drunk,fun,sad,was,am,raw,nil,dog,night,pond,two,kid,mitt,hat,bob,sleep,keep,not,pod,seen,cad,dab,too,son,get,bed,sat,hit,poll,moll,doll,drip,rip,rope,pin,win,sin,sand,and,tan,can,tun,ton,tony,money,kin,gin,gip,pip,poo,poop,pop,pope,ripe,wee,ween,seen,mean,,bean,beans,queen,hot,not,lot,rot,dot,got,cot,clam,sam,dam,damn,git,rote,dote,date,mate,wait,sate,late,h, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2039,water,fountain,bird,fly,sky,blue,sea,beautiful,nature,forest,green,clean,natural,soap,pure,white,snow,climate,seasons,spring,summer,fall,winter,cold,hot,weather,swimming,pool,vacation,island,resort,hawaii,volcano,eruption,outdoors,travel,exploring,hiking,forest,waterfalls,cool,photographs,memories,happiness,restoration,relaxation,palm,trees,beach,sand,water,fish,dolphins,blue,sea,warm,sunshine,seaside,dinner,tiki,lights,sunset,deep,orange,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2040,water,wet,dry,arid,desert,sand,ocean,sea,salt,,pepper,black,dark,light,sun,bright,day,night,dark,grey,color,rainbow,rain,clouds,sky,stars,space,moon,earth,planet,live,human,people,crowd,noise,loud,music,song,sing,singer,microphone,speak,talk,listen,ear,nose,face,skin,scratch,itch,bite,insect,buzzing,sound,noise,laugh,cry,tears,liquid,solid,gas,drive,car,wheels,tunr,lane,street,house,live,die,death,morgue,hearse,garden,flower,watre,drink,thirst,cup,saucer,milk,cat,dog,horse,ride,saddle,sit,stand,kneel,church,religion,faith, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2041,water,cup,glass,window,wall,house,living,people,job,work,money,purchase,food,eat,chew,swallow,mouth,teeth,bite,hurt,pain,pills,bottle,plastic,polution,climate,hot,weather,temperature,sunny,bright,day,night,dark,moon,sky,planets,star,space,rocket,shoot,blast,boom,sound,loud,ear,head,face,body,muscle,lift,gym,building,parking,car,drive,steering,wheel,road,tires,rotate,spin,circle,triangle,square,shape,class,teach,student,desk,study,book,pages,text,letters,numbers,add,subtract,math,subjec,school,grade,college,dorms,roommate,friend,fu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2042,water,slide,swing,play,instrument,viola,lessons,piano,keys,door,house,plant,factory,worker,job,teacher,school,homework,math,problem,solution,liquid,water,drop,roll,bread,butter,fly,trap,hold,hand,shake,milk,cereal,crunch,candy,skittles,rainbow,rain,weather,cold,ice,skate,helmet,bike,ride,bull,cowboy,horse,saddle,sore,throat,tonsils,out,side,team,player,kid,school,house,home,free,bird,fly,paper,recycle,glass,water,wet,dry,towel,laundry,soap,clean,house,home,run,exercise,bike,ride,fair,food,nachos,cheese,fries, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2043,body,parts,store,cashier,checker,game,play,outside,air,quality,control,freak,out,side,chick,baby,cry,baby,puppy,breath,cold,air,quality,control,freak,out,play,hard,knocks,hard,board,directors,movies,shows,theaters,seats,airplane,wing,mom,homeroom,class,dignity,flair,debutante,teenager,attitude,bad,good,girls,sisters,attached,hip,bone,broken,leg,up,down,town,center,cut,meat,steak,flank,maneuver,moves,dances,recital,ballet,ballerina,pointe,tap,shoes,hor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2044,body,head,neck,chest,arms,torso,legs,feet,ground,earth,space,heavens,god,love,power,life,death,awake,see,know,aware,truth,way,path,destination,goal,purpose,intention,plan,fulllfill,full,complete,story,reason,finding,answer,solve,solution,end,time,eternity,inumerable,meaure,length,distance,trip,sojourn,faith,steps,belive,trust,love,p, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2045,body,fluid,gallon,money,time,book,read,car,front,back,sit,walk,run,play,enjoy,cry,wet,rinse,blue,black,red,clear,hurt,push,follow,allow,hear,near,year,fear,care,wear,write,fight,might,sight,caught,fair,plan,plate,rate,date,hotel,well,eat,dine,fine,home,plane,flew,drew,wedding,setting,jet,met,let,crave,coffee,bun,desert,dessert,food,lounge,club,room,high,mile,free,degree,reap,pear,ear,dream,drone,one,count,noun,word,good,bad,few,wife,husband,flood,pool,loop,owl,pole,lope,box,fox,clock,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2046,water,drink,coffee,grounds,park,car,drive,charity,volunteer,service,army,troops,send,mail,letter,word,sentence,jail,judge,jury,rigged,ship,boat,paper,pencil,write,story,book,read,paper,news,election,president,impeachment,government,state,taxes,pay,money,job,raise,high,sky,clouds,rain,water,garden,vegetables,food,cook,meal,eat,family,table,legs,jeans,denim,hole,patch,sew,dress,wear,tear,cry,sad,emotion,complicated,complex,apartment,rent,monthly,calendar,datesa,planning,city,roads,construction,paper,art,museum,sunday,weekend,relax,play,videogames,nintendo,switch,battery,recharge,cable,plug,wait,time,machine,tools,hammer,nail,hang,pictures,artwork,walls,paint,colors, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
