ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147
2014,secret,lies,misinformation,falsehood,truthlessness,falsehood,diseption,fake,unreal,pretend,imaginary,invisible,unseen,blind,dark,black,color,bright,sun,sky,clouds,sun,birds,rain,water,lake,fish,algae,seashells,reef,holes,donut,snack,hungry,growling,stomach,bowels,intestines,food,fridge,light,lamp,shade,prevent,stop,sign,car,wheels,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2015,plane,seat,belt,waist,loops,fruit,store,food,bank,coins,bills,money,banks,safe,storage,keep,out,house,buy,sell,out,in,side,under,taker,giver,hero,villian,king,queen,living,dead,end,games,video,fun,boring,test,page,hangman,adam,west,north,south,east,side,bruno,mars,earth,sun,moon,stars,super,right,wing,left,alone,bowling,pins,ball,shoes,mall,woman,handbag,puppy,sad,floor,run,flee,home,paper,food,water,balls,toy,kids,basket,range,easter,candy,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2016,plane,air,breath,life,style,fashion,clothes,shoes,walking,exercise,health,physical,fitness,ability,happiness,laughter,joy,enjoyment,pleasure,pain,hurt,feelings,emotions,humanity,cards,gifts,presents,christmas,tre,nature,outdoors,environment,protection,pollution,smog,carbondioxide,warming,temperature,weather,storms,destruction,violence,pain,harm,arm,leg,foot,hand,finger,nail,polish,furniture,desk,chair,sit,stand,stretch,armstrong,moon,space,stars,planets,universe,vast,empty,black,cold,hot,coffee,beans,caffeine,drug,energy,solar,green,co,resource,renewable,responsible,mature,adult,wise,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2017,secret,passage,book,time,spin,round,merry,christmas,snow,storm,thunder,lighting,rain,ronado,wind,roof,tree,swing,chain,metal,sutmp,truck,tire,burning,rocks,outhouse,picnictable,bonvire,marshmellows,hotdogs,pitch,table,beer,cigarettes,bed,broken,mud,wood,chainsaw,smoke,oil,fire,cedar,green,tractor,trailer,rock,sand,beach,drinks,friends,goodtiems,fun,bar,karaoke,singing,songs,spotify,hulu,netflix,amazon,prime,video,americans,russians,ukrainians,chickens,goats,niece,walk,cow,horse,grain,pig,bacon,breakfast,sandwich,bagel,steak,cheese,potatoes,asparagus,garlic,salt,butter,tinfoil,charcoal,lighter,fluid,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2018,plane,air,bird,cat,dog,woof,bark,tree,plant,shrub,hedge,witch,wizard,harry,potter,crafter,jeweler,necklace,pants,hat,shoes,tie,knot,ribbon,hair,bow,violion,string,orchestra,performance,sing,yell,shout,laundry,detergent,clean,cleaning,sanitizing,washing,drying,hair,fix,curl,straighten,tie,chap,lad,man,androgynous,fella,gal,queer,nonbinary,asexual,pansexual,bisexual,transexual,transgender,cisgender,he,she,it,they,them,their,there,here,where,everywhere,how,when,why,what,then,they,thought,think,dream,drop,drip,droplet,water,rain,drink,thirsty,dribble,dropper,snow,snowing,hail,thunder,lightning,clouds,grey,black,red,white,blue,green,yellow,orange,pink,maroon,silver,gold,lead,iron,helium,hydrogen,oxygen,atmosphere,cfcs,greenhouse,gases,pollution,environment,natural,sustainable,nature,earth,mother,gaia,protect,preserve,conserve,animals,plants,bacteria,organisms,organic,pesticides,roundup,monsanto,fields,corn,soy,wheat,gmos,engineering,science,genes,genetics,heredity,pedigree,dogs,dogshow,catshow,b
2019,plane,fly,soup,eat,food,tasty,good,bad,ugly,beautiful,pretty,girl,boy,man,woman,lovely,wonderful,nice,mean,average,math,english,geography,geometry,algebra,school,vacation,beach,ocean,fish,whale,shark,bite,mouth,tooth,nail,hammer,saw,tool,belt,pants,shirt,button,zipper,metal,iron,hot,cold,warm,sun,moon,earth,globe,map,country,city,town,home,house,roof,floor,rug,carpet,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2020,secret,idea,reason,belief,thought,creative,inventive,idealogy,concerns,life,hard,worl,work,play,baby,toys,games,clue,hints,help,school,study,learn,create,spell,add,math,subtract,count,science,truth,government,confusing,beliefs,concerns,standing,sitting,playing,running,jumping,swimming,warm,water,beach,vacation,hotel,food,gourmet,great,rest,relax,vacation,trip,grandcanyon,arizona,hot,travel,roadtrip,car,visit,see,discover,learn,life,others,point,view,understand,relate,empathy,concerns,cares,believe,doubt,hate,love,share,give,acceptance,understand,g, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2021,secret,mute,silent,quiet,hold,hoard,stingy,greedy,selfish,laidback,relaxed,comfortable,lay,keep,kill,liar,king,thief,market,key,lock,pouch,mean,meaning,swift,sing,mingle,swindle,kindle,behind,acknowledge,behave,bee,swat,sweet,beat,bit,kilo,clean,house,student,paint,taint,stay,sway,maim,damn,long,far,time,waste,paste,taste,food,drive,road,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2022,plane,train,passenger,person,people,child,kid,goat,hay,horse,shoe,foot,ball,soccer,baby,caleb,child,mine,family,kids,husband,eddie,work,job,money,bills,paying,rent,house,mortgage,realtor,agent,secret,spy,detective,police,badge,authority,bos,job,work,money,problems,fighting,boxing,ring,wedding,dress,white,snow,cold,winter,frost,ice,skating,blade,razor,shaving,legs,long,tall,giant,big,large,dog,husky,blue,white,snow,man,husband,family,children,loud,noise,anxiety,quiet,peace,god,church,bible,lesson,learn,teach,teacher,student,desk,papers,pencil,writing,story,words,misspelling,errors,wrong,right,left,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2023,secret,wife,marriage,wedding,bride,mother,father,parents,children,daycare,play,recess,basketball,stadium,football,players,millions,wealth,money,work,bank,suits,payday,account,joint,open,close,window,cool,cold,breeze,wind,protection,warm,air,fly,bird,float,ball,exercise,ripped,fit,muscular,hard,healthy,vegetables,fruits,balanced,diet,food,dinner,cooking,preparing,making,evening,television,movies,grammy,award,honor,court,judge,crime,jail,guard,job,application,deadline,project,w, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2024,plane,air,plane,level,field,baseball,football,soccer,ball,bat,bird,dog,cat,bear,tiger,monkey,banana,apple,pear,grapes,raisins,cereal,milk,bowl,plate,cup,coffee,juice,milk,cow,donkey,horse,sheep,chicken,egg,ham,steak,bacon,sausage,breakfast,lunch,dinner,bed,couch,chair,table,tv,cabinet,dresser,clothes,shirt,pants,socks,underwear,dress,party,birthday,wedding,married,children,babies,girl,boy,play,trucks,guns,trains,cars,swords,dolls,lego,blocks,coloringbooks,red,green,blue,yellow,purple,orange,black,brown,white,cloud,rain,sun,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2025,secret,letter,mail,ball,game,hard,soft,ripe,tear,cry,hard,man,woman,lip,stain,spread,cover,paint,wall,window,glass,pane,panel,truck,engine,gas,motor,cycle,tire,rubber,condom,sex,drugs,rock,granite,stone,quarry,mine,gold,pan,stream,rush,california,state,ocean,pacific,water,drought,rain,sun,sky,fall,down,valley,hot,desert,cactus,needle,spine,dry,gulch,squat,old,paper,wind,tumble,weed,border,text,read,call,write,note,pen,ink,stain,seal,lick,stamp,mail,late,flag,red,consume,apple,fruit,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2027,plane,train,cain,fame,blame,tame,same,name,game,flight,bike,jog,water,swim,team,salt,ocean,sea,fish,cold,warm,hot,ice,time,coffee,tea,bee,beat,seat,feet,garbage,chair,hair,where,teeth,white,shirt,dress,mess,black,orange,purple,green,blue,indigo,violet,red,rainbow,shine,sun,star,space,planet,earth,mars,jupiter,saturn,mercury,comet,galaxy,universe,expanse,computer,laptop,cellphone,internet,knowledge,wiki,social,facebook,food,apple,pear,plum,orange,banana,cherry,grape,blackberry,raspberry,blueberry,corn,wheat,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2028,secret,hide,mystery,novel,unique,artefact,art,paint,color,beautiful,nature,trees,oxygen,life,family,kids,responsibilty,secure,job,finance,money,buy,things,stuff,hoard,spaceless,dirty,germs,infection,sick,doctor,medicine,expense,unnecessary,spending,budget,careful,cautious,diligent,health,wealth,happiness,contentment,achievement,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2031,secret,quiet,silent,pause,stop,go,turn,around,mound,baseball,sport,basketball,hoop,jump,play,fun,run,fast,car,red,color,blue,sky,clouds,white,sheets,bed,sleep,somber,peaceful,calm,meditate,yoga,stretching,wide,big,huge,tree,plant,flower,rose,red,truck,wheels,tires,road,trip,country,quiet,silence,tranquil,peace,pray,church,steeple,tall,large,big,climb,high,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2032,plane,jet,football,patriots,boston,city,town,country,kerouac,road,yellow,line,circle,square,beatnik,dobie,doobie,music,notes,pen,ink,paper,poem,words,metaphors,adverb,busily,work,space,time,continuum,univers,consciousness,awareness,unknown,knowledge,ignorance,dream,illusion,maya,here,nowhere,man,woman,world,turns,day,night,tools,civilization,work,play,shakespeare,hamlet,caesar,brutus,death,rome,greece,athens,plato,pythagoras,equations,angles,geometry,geology,mines,yours,relationship,love,universe,consciousness,listen,heart,beat,time,space,moon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2035,plane,air,bird,animal,mammal,human,life,universe,god,religion,hope,depression,sadness,sorrow,grief,love,fun,games,hobbies,trains,collection,expensive,money,poverty,hard,struggle,determined,ethic,morals,politics,usa,trump,putin,corruption,games,comics,family,friends,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2036,secret,garden,flower,rose,gold,ring,wedding,marriage,husband,friend,rachele,miss,hit,shot,gun,weapon,firing,range,cooking,chicken,mushrooms,fungus,forest,trees,leaves,green,color,red,shirt,shoes,pants,belt,asteroids,space,war,bad,wrong,right,left,store,shopping,clothes,shelter,homeless,helpless,dog,cat,tiger,zoo,lion,attack,terrorism,bad,good,prayer,religion,family,happiness,grateful,good,games,fun,hobbies,relaxation,leisure,vacation,beach,hotels,motels,maids,poor,health,unhealthy,inept,unable,stupid,dumb,failure,unworthy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2037,plane,cabin,log,file,cabinet,shake,chocolate,candy,bar,stool,pigeon,fly,swat,team,work,place,park,city,building,tall,giraffe,tongue,taste,sweet,corn,syrup,maple,tree,leaves,fall,slip,boat,harbor,walk,around,near,close,up,down,comforter,bed,pan,frying,oil,drill,power,electricity,lightning,storm,rain,clouds,sun,hot,burn,fire,extinguisher,red,barn,farm,stand,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2038,plane,air,fly,bird,feather,blue,fluffy,bear,animal,claws,mean,red,blood,dead,hurt,feelings,people,crowd,busy,time,clock,tick,bury,treasure,gold,rich,money,mansion,house,furniture,comfortable,plush,soft,pretty,woman,curves,grace,elegant,flowing,dress,clothes,knit,weave,scarf,hat,winter,cold,ice,skating,blades,steel,sharp,knife,cut,blood,bandage,white,cotton,field,flowers,dandelion,daisy,summer,breeze,warm,hot,air,smoke,cough,sick,flu,fever,sleeping,night,bed,blanket,cold,fire,burning,ash,hot,gray,flames,house,destroyed,tears,sad,crying,blue,depressed,medicine,better,healthy,doctor,nurse,lab,experiment,science,work,job,daily,everyday,life,time,energy,low,sleepy,nap,rest,power,dinner,eat,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2039,secret,top,mountain,lion,cub,baseball,sport,car,bmw,fast,run,race,win,money,rich,luxury,mansion,realestatetaxes,government,politics,trump,america,freedom,war,veterans,dad,loving,teaching,learning,college,ucf,goldenknights,football,tailgate,beer,bar,fun,work,paycheck,retirement,savings,investments,stockmarket,nervous,anxiety,forgetfulness,oldage,grandparents,nastalgia,childhood,bestfriend,swimming,backyardpool,goodtimes,happiness,missing,lost,reconnect,call,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2040,plane,flying,falling,mistake,attention,test,timer,clock,routine,work,employee,boss,rich,poor,homeless,broke,tired,bored,excited,happy,dancing,people,society,town,city,mayor,vote,debate,right,wrong,incorrect,foolish,ridiculous,silly,goofy,daffy,weird,unusual,crazy,peculiar,eccentric,uncle,aunt,grandmother,grandpa,seniors,juniors,sophomore,freshman,highschool,teacher,grades,time,busywork,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2041,plane,train,automobile,car,ride,go,away,far,distance,portland,home,gone,sad,cry,tear,wet,water,drink,soda,cold,heat,warm,nice,mean,bully,fight,pain,hurt,blood,doctor,cancer,death,forever,eternity,god,faith,believe,church,sunday,nascar,racing,excitement,fun,play,game,win,lose,bad,punish,jail,prison,forget,memory,question,knowledge,learn,school,bus,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2042,secret,hidden,obscured,unseen,invisible,etherial,ghostly,scary,fear,conservative,hateful,trump,dangerous,stupid,mindless,followers,socialmedia,facebook,twitter,mobs,judgment,diluded,dangerous,perilous,journey,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2044,plane,flying,air,travel,vacation,relaxation,stressfree,sane,mental,happiness,cheerful,active,outdoors,adventure,trip,hiking,mountain,nature,trees,forest,scenery,picturesque,beautiful,pretty,attractive,beauty,face,makeup,application,painting,creative,artwork,decoration,walls,home,house,security,safety,personal,myself,comfort,luxury,prestige,expensive,pricey,boujee,swanky,fancy,elite,a-list,celebrity,star,fans,followers,viewers,subscribers,youtube,videos,vlogs,lifestyle,living,life,daily,everyday,monday,tuesday,wednesday,thursday,friday,saturday,sunday,weekly,schedule,routine,responsibilities,projects,manager,supervisor,project,task,attempt,work,employee,wages,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2045,secret,information,data,privacy,solitude,lonliness,depression,drugs,hallucinations,disorder,flaw,defect,dent,scratch,records,music,bands,jazz,cornet,trumpet,brass,copper,metal,gold,silver,platinum,dense,thick,solid,liquid,water,ocean,fish,seafood,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2046,secret,hide,cover,dark,evening,dinner,food,meat,cow,farm,corn,ear,hear,sound,noise,loud,bang,gun,bullet,bite,mouth,teeth,chew,swallow,digest,read,book,page,paper,tree,forest,nature,mountains,climb,stairs,step,walk,hike,scenery,landscape,painting,canvas,tent,camping,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2048,plane,air,sky,boat,water,fish,orange,duck,web,spider,cat,dog,mouse,cat,cheese,orange,web,spider,cat,orange,cat,white,black,space,star,sky,orange,color,rainbow,purple,sunset,ocean,wave,white,clear,window,rain,petrichor,smell,nose,piercing,gold,silver,bar,bedroom,carpet,stain,cleaner,vaccuum,red,stop,sign,asl,deaf,hearing-aid,teenage,child,dirty,grubby,dirt,brown,bear,woods,camping,tent,tree,hammock,sleeping-bag,soft,down,wrap,foilage,worm,inch,green,leaf,acron,acorn,oak,moss,cologne,orange,aldeyhyde,cologne,green,mint,bergamot,lime,salt,rum,orange,musk,ox,dirty,big,sky,cloud,rain,wet,c, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2049,plane,fly,bird,chicken,sandwich,restaurant,food,beef,cow,farm,farmer,field,plow,vegetables,peas,carrots,ranch,dressing,salad,bowl,pins,alley,deserted,lonely,friends,family,love,home,dog,pet,companionship,needed,taken,neilson,daughter,mom,cooking,lasagna,italian,italy,homeland,beautiful,foreign,europe,germany,cold,ice,winter,freezing,freezer,garage,car,park,trees,grass,nature,mother,hen,eggs,omlet,bacon,pigs,dirty,job,work,daily,sleep,short,person,angry,man,woman,child,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2050,secret,book,key,door,lock,hold,me,brain,mush,food,chocolate,bar,gold,ticket,game,stadium,seats,red,cushion,velvet,cloth,tablet,computer,keyboard,mouse,hold,it,clown,shoes,red,black,heels,feet,toes,nailpolish,black,shiny,hair,brush,comb,oil,face,skin,nose,pores,eyes,eyelashes,soft,blanket,pink,heart,cookies,icing,sugar,butter,pantry,groceries,list,aisle,tiles,shelves,boxes,cornmeal,cornbread,honey,bees,hive,queen,crown,red,rubies,emeralds,topaz,necklace,setting,diamond,mine,cave,tavern,cavern,stalagtite, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2051,plane,fly,scary,trip,overseas,water,drink,glass,window,look,clear,sky,blue,pants,leg,arm,hand,grab,hold,secure,lock,key,car,drive,motor,run,oil,gas,station,radio,music,loud,speaker,conference,people,chairs,table,eat,dinner,dishes,wash,clothes,machine,dryer,fold,towels,bath,shower,wet,spray,hose,cold,hot,sun,shine,sparkle,glow,light,bulb,break,done,finished,complete,form,pen,write,letter,envelope,stamp,mark,approved,loan,apply,denied,accepted,belong,friends,interest, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
