ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152,word 153,word 154,word 155,word 156,word 157,word 158,word 159,word 160,word 161
1013,body,health,living,happy,joy,smile,smile,teeth,dentist,school,learn,teach,career,job,money,necessity,upkeep,maintain,standard,expectations,pressure,anxiety,drugs,illegal,law,judge,jury,executioner,death,life,hope,desire,want,ambition,goal,goal,hope,dream,sleep,tired,rest,pillow,bed,sheets,mattress,spring,coil,metal,mine,dig,coal,environment,world,dread,flood,tsunami,disaster,crisis,emergency,alert,woke,aware,aloof,cold,emotionless,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1014,body,leg,foot,toe,sock,shoe,shine,sun,moon,earth,ground,plants,fruit,sugar,sweet,sour,bitter,tongue,mouth,teeth,brush,dentist,office,worker,salary,pay,money,bank,transfer,move,go,stop,wait,time,minute,second,day,hour,clock,watch,wrist,break,fix,repair,hammer,nail,polish,wax,candle,light,dark,day,night,stars,sky,clouds,rain,weather,forecast,sunny,cloudy,grey,gloomy,dark,cold,sweater,clothing,shirt,tie,neck,beard,hair,style,fashion,colorful,rainbow,gold,silver,coins,bills,money,cash,check,pay,buy,shop,steal,take,give,help,hurt,bad,good,taste,salt,sugar,sweet,candy,hard,soft,fluffy,cat,kitten,puppy,dog,bark,tree,top,bottom,below,under,over,out,in,enter,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1015,body,hair,net,ball,game,start,line,dance,show,game,play,station,wagon,pull,trolley,train,station,subway,platform,stand,lemonade,drink,orange,juice,box,cutter,knife,sharp,marker,color,wheel,barrow,hay,day,light,box,boxing,ring,master,wizard,lord,fantasy,potter,clay,mold,green,brocolli,vegetable,carrot,rabbit,hole,field,day,sun,light,morning,cloud,rain,water,river,sea,ocean,fish,salmon,tuna,sushi,rice,cooker,kitchen,mat,walk,feet,toes,fingers,nails,paint,wall,picture,hang,photo,frame,eight,nice,person,human,kind,figure,shadow,sundown,night,sleep,bed,tired,hungry,bored,sleep,closed,eyes,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1016,body,foot,toes,toenail,clippers,cut,grass,tree,bush,wind,rain,storm,thunder,lightning,gas,fuel,nintendo,games,strategy,war,sauce,pasta,spaghetti,alfredo,wine,merlot,grapes,red,green,blue,orange,indigo,violet,colors,windows,cat,dog,monkey,chimp,panda,turtle,horse,elephant,cheetah,lion,tiger,tigger,winnie,pooh,bear,rabbit,game,thrones,star,trek,deep,space,enterprise,voyager,warp,klingon,alien,earth,mars,jupiter,saturn,uranus,pluto,comet,galaxy,cosmos,youtube,videos,relax,chair,netflix,hulu,scifi,shows,winter,summer,hot,cold,boiling,steam,egg,toast,toaster,butter,cream,dairy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1017,body,part,play,role,actor,actress,drama,club,sports,basketball,player,tall,short,mini,cupcake,sweet,icing,frosting,frostedflakes,cereal,milk,icecream,chocolate,candy,store,shopping,clothes,shirt,skirt,dress,fancy,wedding,bride,groom,man,women,baby,crying,sad,happy,smile,laugh,noise,clapping,applause,show,comedy,comedian,jokes,entertainment,movies,disney,snowwhite,dwarves,tinkerbell,peterpan,neverland,michaeljackson,music,hiphop,r&b,pop,dancing,boybands,girls,screaming,fans,celebrities,paparazzi,cameras,flash,photography,pictures,landscapes,mountains,scenary,water,ocean,views,cruise,ship,travel,carribean,beach,sand,swimming,swimsuit,sun,sunscreen,skin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1019,water,ice,cold,jacket,zipper,teeth,chew,eat,food,hot,sweat,work,job,money,green,trees,hills,sky,clouds,rain,water,river,raft,oar,wood,tree,branches,leaves,birds,flight,airplane,pilot,sunglasses,glare,sun,sky,moon,rocket,space,planet,ocean,wave,ship,deck,mast,sail,white,clear,crystal,glass,wine,grapes,vines,farm,barn,animals,horse,saddle,cowboy,gun,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1020,water,fire,flame,smoke,gas,light,candle,wick,metal,holder,lamp,shade,linen,towel,wash,clothing,shirt,sleeve,pants,pocket,jeans,jacket,hoodie,warm,blanket,fuzzy,soft,microfiber,sleep,pillow,bed,cushion,couch,change,transform,mutation,comics,action,movie,theater,popcorn,microwave,oven,cleaner,sponge,window,squeegee,glass,steam,shower,bath,bubbles,relax,spa,massage,treatment,facial,mask,aloe,scrub,apricot,scrape,sand,beach,ocean,wave,moon,phase,face,turn,signal,traffic,street,crosswalk,cross,walk,park,block,store,corner,car,parking,lot,space,star,orbit,galaxy,comet,fast,move,run,jog,jump,rope,game,video,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1022,water,drink,soda,sugar,sweet,candy,store,grocery,food,lunch,eating,fat,bad,crime,murder,jail,punish,bad,dirty,clean,chemicals,medicine,illness,death,sadness,crying,pain,relief,sigh,happy,smile,inviting,party,music,dancing,exercise,jogging,sweat,shower,clean,shiny, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1023,water,frog,leap,jump,rabbit,furry,hair,ponytail,girl,boy,man,woman,people,population,country,continent,earth,planet,space,sun,warm,heat,blanket,fuzzy,fur,dog,cat,tail,long,short,tall,height,weight,skin,eyes,blue,green,water,ocean,lake,pool,house,condo,building,florida,state,wyoming,country,desert,jungle,monkey,gorilla,zoo,animals,puppies,hyper,running,jogging,street,park,pond,fishing,cooking,kitchen,dining,restaurant,food,drink,soda,tea,lemon,lime,juice,orange,tree,bush,shrub,flowers,lilac,purple,pink,unicorn,dragon,roar,lion,mane,hair,short,small,mouse,cheese,cracker,meat,burger,bun,bread,toast,butter,milk,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1024,body,part,hair,body,water,hydrogen,science,smart,candy,kids,school,book,bag,fill,hole,whole,maze,corn,vegetable,health,class,people,dumb,bell,ding,dinghy,boat,fishing,catching,eating,seeing,watching,watch,time,left,right,center,armor,strong,arnold,terminator,terminate,fire,ice,water,cold,temperature,ac, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1027,body,head,shoulder,foot,arms,legs,toes,knee,ear,tie,hat,face,nose,light,heavy,round,clear,tip,tap,fat,cheese,tempo,beat,drum,sink,jaw,fear,time,like,dislike,share,subscribe,follow,hear,listen,learn,chase,follow,feel,test,rhyme,asia,korea,nasty,healthy,charm,disrupt,encourage,believe,tasty,think,swim,engage,divorce,rewind,begin,justice,peace,war,bomb,extract,mining,fishing,crashing,burning,existing,death,crime,hospital,car,crash,erase,delete,stream,river,goat,seatbelt,chubby,brown,raisin,diamond,level,experience,gain,lose,win,people,street,concert,corruption,gaming,mario,play,nintendo,sony,partner,team,doll,chores,clean,riot,chess,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1029,body,man,hair,shave,shower,clean,soap,drop,prison,crimes,robber,gun,ammunition,laws,innocent,guilty,court,judge,policeofficer,firefighter,fire,chaos,family,house,home,mother,father,children,pet,dog,cat,hunting,rifle,deer,food,turkey,duck,thanksgiving,holidays,christmas,events,fireworks,fun,beer,summer,fishing,warmth,trout,bass,sport,baseball,stadiums,pitchers,catchers,teams,competition,winners,losers,ties,worldseries,nationals,astros,cheating,scandal,video,punishment,accusation,adversity,trials,tribulations,overcoming,perseverence,talent,work,dedication,honesty,kindness,caring,careful,loving,boyfriend,girlfriend,kiss,marriage,honeymoon,joy,happiness,fun,love,family,house,purchase,mortgage,loans,debt,foreclosure,homeless,drugs,alcohol,crime,unsafe,cold,wet,lonely,divorce,sad,unhappy,terrible,depressing,disappointing,shame,unfortunate,playground,bridge,children,slides,hotels,bed,breakfast,food,cooking,dinner,lunch,preparing,table,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1030,water,spout,flow,chart,graph,pie,crust,dirt,hill,top,side,ways,atomic,bomb,japan,asia,continents,oceans,eleven,thirteen,actor,actress,fame,money,accountants,wallstreet,options,bear,hedge,puts,calls,strike,baseball,pitcher,homerun,fans,heaters,beer,hotdogs,summertime,fun,goodtimes,vacations,beach,sand,sun,bikinis,pinacoladas,catamarains,cruiseships,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1031,water,wet,dry,clean,laundry,machine,motor,engine,car,wheel,tire,sleep,bed,pillow,head,mind,brain,thoughts,emotions,feel,touch,texture,bump,rough,golf,course,school,teacher,chalkboard,eraser,pencil,bubble,soap,shower,clean,fresh,water,plants,green,money,bills,utilities,lights,lamp,post,mail,stamp,rubber,duck,bend,knee,pain,strain,stretch,rubber,condom,sex,woman,curves,driving,wheel,circle,pizza,cheese,grater,flakes,dandruff,scalp,indians,west,california,bridge,bay,boa, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1032,body,skin,black,red,yellow,pink,grean,blue,white,orange,purple,flower,water,lake,pond,way,hills,rain,drops,down,land,sand,mud',quicksand,stuck,people,man,women,kid,girl,boy,dad,mom,love,marrage,fight,blood,cry,breakup,depresed,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1035,body,shape,body,parts,car,door,frame,wood,door,window,pane,glass,cleaner,windex,towel,paper,print,ink,blot,dab,touch,hand,shake,milk,dud,milk,chocolate,bar,drink,beer,wine,glass,fancy,decor,home,base,baseball,game,darts,dartboard,win,lose,sad,depressed,happy,laugh,smile,teeth,tooth,paste,glue,stick,together,apart,separate,alone,lonely,withdrawn,away,social,media,facebook,friends,internet,google,search,find,lose,win,winner,sports,hockey,ice,cube,cold,hot,warm,cozy,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1036,water,drink,soda,thirsty,hot,warm,cold,snow,freezing,blanket,toasty,holiday,vacation,friends,happy,content,money,rich,wealthy,fun,smiling,laughter,show,movie,gathering,argument,unhappy,reasoning,confusion,resolve,commitment,stay,happy,combine,dreaming,dream,future,career,satisfied,promotion,stable,fortified,independent,joyful,stability,travel,air,sun,cold,lake,house,purchase,rent,final,contentment,life,work,fam, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1038,water,lake,ocean,stream,river,pond,frog,lillypad,trees,leaves,roots,bark,grass,dirt,sand,rocks,gravel,roads,driveway,streets,freeway,highway,lane,avenue,rich,mansions,people,wealthy,diamonds,cash,gold,silver,money,gems,treasure,pirates,ships,jewels,charms,chains,pendants,pearls,clams,oysters,starfish,clownfish,turtle,sharks,whales,squid,orca,dolphin,fishing,bait,pole,line,reel,net,hall,crab,boat,captain,worker,construction,helmet,hamer,nail,screw,screwdriver,building,saw,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1040,body,arm,hand,fingers,grip,hold,carry,transport,activity,chore,task,completion,,empty,directionaless,difficulty,trouble,tedious,repetive,boring,directionless,guidance,helpful,aid,resources,ability,completion,relief,happiness,pride,calm,peaceful,rest,relaxation,comfort,peaceful,relaxe, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1042,body,arm,leg,toes,feet,hands,fingers,head,fingernails,ribs,elbow,eyes,eyebrows,lips,mouth,teeth,gums,heart,lungs,liver,spleen,intestine,thighs,hair,hat,shirt,pants,shorts,jeans,shoes,tie,gloves,glasses,contacts,jacket,dress,skirt,underwear,watch,phone,tablet,laptop,desktop,pc,mac,computer,monitor,mouse,mousepad,keyboard,cable,disk,harddrive,software,hardware,cpu,gpu,motherboard,graphics,sound,headphones,earbuds,wired,wireless,bluetooth,wifi,internet,electricity,gas,insurance,water,sewage,bills,rent,mortgage,house,apartment,condo,townhouse,duplex,renting,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1044,water,wet,rain,puddle,sick,illness,medicine,hospital,antiseptic,needle,pain,iv,fluids,bedpan,bedridden,sore,turn,sunlight,outside,freedom,fields,poppies,run,marathon,bike,speed,car,accident,kill,slippery,snow,white,falling,heavy,blizzard,mountain,cold,wilderness,wild,animals,bear,teeth,claw,cat,meow,kitty,kitten,orange,tabby,fluffy,fur,dog,labrador,bark,stink,annoying,angry,hiss,snake,slither,slimy,slug,shell,nasty,beach,wind,sand,ocean,blue,depth,creatures,large,unknown,scary,swim,fast,shark,teeth,kill,shoreline,helicopter,save,loud,windy,ears,hurt,fly,safe,home,warmth,fireplace,fire,explosion,burn,flames,destruction,hurricane,winds,damage,hail,storm,roof,trees,destroyed,giant,smash,fists,hulk,character,movie,entertainment,superhero,space,frontier,stars,void,darkness,nothingness,fear,run,sick,scared,hide,forest,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1045,body,part,liver,spine,bone,dust,grind,ash,fire,burn,tree,wood,train,track,method,spiral,acute,main,drain,vain,bane,sane,insane,tame,lame,lion,den,bin,bear,deer,woods,forest,fish,river,lake,ocean,boat,navy,bomb,missile,attack,army,soldier,fight,knife,gun,hunt,nut,butt,boob,girl,woman,daughter,son,man,father,grand,grandfather,grandmother,pom,normal,number,digit,initial,signature,write,book,text,inscription,transcribe,story,sorry,author,narrative,explore,world,men,explorer,lord,king,knight,dive,drive,car,automobile,business,gasoline,stocks,market,lawyer,judge,legal,bible,god,religion,jewish,text,sacred,word,research,science,biology,chemistry,physics,engineering,mechanical,electrical,chemical,nuclear,computer,internet,device,driver,motherboard,alien,ship,ufo,extraterrestrial,unknown,mystery,esoteric,exoteric,exoskeleton,bug,insect,honey,bee,beetle,wasp,flower,pollen,sex,birds,eagle,hawk,bass,guitar,amplifier,rock,metal,iron,steel,carbon,fiber,blade,organic,inorganic,material,tank,storage,water,flow,air,airplane,jet,helicopter,aviation,sky,space,astronaut,weapon,star
1046,water,wet,ocean,glass,blue,ice,cold,winter,swow,frostbite,black,fingers,mountain,wind,nature,sea,turtle,clown,mummy,cartoon,laboratory,science,beaker,dollar,college,campus,dorm,pizza,deliver,town,stoplight,gas,truck,tank,oil,felt,mark,tire,screech,tail,lawn,trash,dumpster,cat,paw,sick,vet,horse,sheep,mule,cow,black,cigarette,lung,cancer,faint,coma,arrest,music,cane,cripple,crutch,medicine,nurse,doctor,surgeon,hospital,clean,clam,coral,coal,kangaroo,buck,forest,sound,wind,grass,rock,sand,sink,ship,wreck,wave,tide,seaweed,musical,broadway,play,show,cast,scene,curtain,rug,scarf,mittens,shelter,faucet,heater,toilet,cabinet,soap,dish,bird,wing,sundial,telescope,tornado,siren,hurricane,storm,hail,lightning,thunder,crash,drum,bass,guitar,shoes,parrot,pinata,spaghetti,meat,milk,jam,bread,butter,soup,salt,vinegar,wine,grape,berry,honey,well,chocolate,coffee,soda,sofa,, , , , , , , , , , , , , , , , , , , , , , ,
1048,water,ocean,river,stream,fish,bridge,cars,bus,people,city,tour,vacation,fly,plane,window,clouds,sky,land,airport,ride,visit,family,dog,cat,house,yard,street,city,neighborhood,decorations,christmas,holiday,work,office,job,computer,type,mouse,break,glass,plate,lunch,dinner,restaurant,mexican,burrito,gas,stomach,bed,rest,sleep,wake,breakfast,donuts,box,bring,meeting,boss,fire,hire,employee,employer,commute,train,passengers,conductor,stop,commute,highway,traffic,rush,police,speeding,ticket,arrest,dui,alcohol,beer,bar,whiskey,shot,band,playing,drums,rock,late,concert,party,balloons,cake,drunks,hangover,aspirin,water,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1049,water,bucket,pail,comparison,ideal,image,picture,photograph,smile,forced,feed,horse,cow,pig,glutton,sins,atonement,redemption,prize,money,low,high,fluctuate,reciprocate,altruistic,selfish,pain,giving,receiving,fixing,moving,journey,destination,maps,instinct,follow,lead,together,alone,solitary,confinement,dark,concrete,wet,sick,medicine,immunity,tolerance,useless,alays,perception,beliefs,notions,formative,sponge,child,baby,birth,death,ashes,beyond,below,above,within,around,expanding,consciousness,eye,mind,soul,heart,unity,separate,divide,conquer,reign,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1050,body,gym,workout,sweat,running,shoes,outside,trees,leaves,plants,sun,hot,swim,water,river,fish,worm,dirt,ground,pepper,flavor,cooking,stove,oven,baking,cake,frosting,sweet,dessert,pie,slice,knife,steak,cow,milk,cereal,grains,pasta,garlic,pizza,italy,bread,breakfast,juice,oranges,pulp,wood,axe,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
