ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152,word 153
2013,body,air,chair,ear,face,nose,mouth,chin,cheek,head,hair,eyes,brow,eyelash,makeup,skincare,skin,hand,foot,waist,body,legs,arms,back,neck,shape,fingers,toes,nail,skin,smooth,soft,long,smile,happy,movement,sport,gym,workout,exercise,health,diet,energy,clean,clear,life,live,powerful,goal,mind,beauty,light,bright,vivid,sun,sunday,walk,run,weight,training,running,sweat,clothes,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2014,water,ocean,waves,beach,suntan,lotion,skin,soft,bed,sleep,rest,stop,sign,language,english,britain,london,bridge,brooklyn,pizza,pepperoni,salami,ham,cheese,bread,butter,milk,cow,udder,nipples,tips,nails,hard,soft,marshmallow,smore,campfire,hot,cheetos,chips,sourcream,donuts,pastries,cakes,lemon,limes,green,kermit,puppet,hand,arm,leg,foot,shoe,sneaker,nike,addidas,rihanna,music,art,paintings,picasso,france,snails,wine,croissant,almond,peanut,brazil,walnut,roasted,toasted,salted,sweet,sour,sauerkraut,kimchee,korean,seoul,japan,tokyo,china,taiwan,singapore,beirut,isreal,jews,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2015,body,suit,armor,car,wash,cloth,cheese,cake,batter,pitcher,catcher,basket,flowers,garden,dirt,cleaning,chores,work,schedule,priority,responsiblity,job,weekend,fun,vacation,travel,future,planning,friends,experiences,unknown,excitement,sunday,prepare,tasks,motivate,workout,health,fitness,goals,improvement,recover,improve,expand,strenghten,challenge,compete,question,inquire,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2016,water,wet,lake,fish,park,ducks,bread,gluten,protein,keto,cheese,bacon,blt,sandwich,shop,costco,bulk,meat,cheese,fat,avocado,toast,bagel,creamcheese,lox,fish,sushi,miso,tired,sleepy,coffee,tea,cream,moisturizer,skincare,lush,exfoliate,mask,serum,steam,heat,bath,soap,shower,gel,scrubby,drain,spill,wet,hair,shampoo,conditioner,gel,brush,comb,curly,dry,towel,robe,pink,shave,lotion,read,tablet,browse,email,twitter,cnn,read,think,concern,politics,annoyed,work,mturk,hits,money,bank,transfer,bonus,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2017,body,soul,brother,sister,family,house,heat,windows,light,sun,astronomy,planets,space,astronauts,rockets,smoke,fire,truck,ford,detroit,robocop,justice,courts,judge,robe,black,night,darkness,cold,winter,snow,frost,ice,sled,children,mittens,cats,couch,room,tv,movie,thor,hammer,giants,gods,ancient,rome,gelato,cold,coffee,warm,awake,bed,blankets,sleep,nap,pajamas,cats,broadway,tickets,hats,outdoors,winter,tires,car,chevy,broke,mechanic,mustache, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2018,water,drin,plant,green,tree,forest,amazon,shopping,money,work,time,limited,edition,book,paper,white,clean,shower,cap,pen,ink,black,night,day,sun,heat,cold,coat,winter,summer,beach,volleyball,fun,friends,meeting,people,restaurant,pizza,beer,laugh,smile,dentist,teeth,brush,paint,oil,vinegar,salad,green,lettuce,tomatoes,salt,pepper,spicy,burn,hell,paradise,heaven,angels,god?!,bible,book,paper,ink,tattoo,skin,clothes,shoes,run,walk,sweat,shower,clean,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2019,body,part,switch,roles,rock,stone,cold,warm,cold,hot,sauce,bbq,grill,outside,park,drove,car,jeep,cool,hot,cold,hot,warm,welcom,matt,floor,ceiling,roof,house,home,base,bottom,top,toy,game,play,work,hard,soft,pillow,bed,sleep,nap,afternoon,morning,good,bad,ugly,pretty,cute,beautiful,sexy,girl,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2020,water,cup,drink,liquid,ice,bucket,well,bathtub,kitchen,sink,dishwasher,weight,bath,river,lake,ocean,pond,drown,car,laundry,coconut,tea,glass,shave,hair,bottle,cup,digestive,flush,toilet,forks,knives,spoons,plates,bowl,hot,cold,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2021,body,mind,heart,compassion,love,humanity,sharing,food,energy,science,astronomy,stars,heat,fire,camping,hiking,nature,trees,flowers,bees,honey,bears,winter,snow,wind,climate,greenhouse,destruction,pollution,rivers,oceans,dolphins,whales,coral,seahorse,horse,cowboys,shepherd,sheep,lamb,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2022,body,par,part,half,partial,small,tiny,little,baby,infant,toddler,kid,child,children,toys,mickeymouse,television,show,movie,actor,actress,woman,adult,man,grown,higher,lower,small,tiny,dot,period,sentence,write,type,computer,desktop,laptop,internet,router,modem,wifi,internet,surfing,web,browser,,,,,,go,green,color,red,blue,orange,white,person,fun,half,lost,found,search,look,here,there,where,lost,again,after,found,before,begin,end,last,first,final,finale,won,lost,tie,suit,wear,tuxedo,clothing,man,woman,age,young,old,teenage,senior,junior,freshman,college,school,textbooks,work,shift,hours,minutes,seconds,timer',stopwatch,watch,clock,set,complete,done,finished,final,season,summer,spring,winter,autumn,fall,spring,daisy,flowers,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2023,water,glass,water,temp,cold,hot,warm,sun,yello,color,blue,sky,clouds,white,people,group,family,sister,friend,girl,friend,alice,best,present,birthday,gift,box,big,dog,white,eskimo,ice,drink,cocktail,whiterussian,yummy,food,pizza,tomato,sauce,hollandaise,eggs,butter,cake,angel,mom,dad,parent,dead,angels,heaven,god,allmighty,president,stupid,government,politician,greed,money,lies,human,gender,x,bi,gay,people,different,heritage,ancestor,europe,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2024,water,fall,slide,slip,knot,tie,neck,brace,impact,influence,thought,action,verb,doing,well,good,feeling,vibe,intuition,center,attention,deficit,less,perfect,fine,okay,mediocre,talent,function,heart,soul,body,dance,movement,joy,despair,pity,sympathy,loss,grief,need,hug,affection,emotion,touch,sacrifice,giving,selfless,thoughtful,generous,safety,warmth,comfort,companionship,friend,talk,empathy,closeness,kindness,weakne, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2025,body,shape,color,string,play,crayons,wax,melt,heat,flame,fire,spark,star,impact,catastrophe,crater,earth,diamonds,elements,minerals,vibration,tip,extended,branch,tree,root,network,neural,pathway,quantum,reality,leaves,nature,wind,temperature,weather,tv,news,politics,blood,cult,occult,religion,mystic,school,mystery,teachings,cosmic,intelligence,sentient,being,robot,maid,helper,assistant,brainwash,trance,daze,trick,manipulate,methodical,time,hands,clock,sand,hour,minute,desert,country,sea,land,cloud,conspiracy,tin,aluminum,flouride,brain,pineal,calcify,mankind,human,wealth,monetary,bank,central,government,global,robbery,taken,took,stolen,thieve, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2027,body,mind,thoughts,feelings,pain,strength,power,wealth,status,money,objects,wealth,money,government,politics,president,whitehouse,russia,collusion,risk,challenges,objects,interference,election,democracy,voting,states,country,states,city,towns,population,people,gender,male,female,candidate,race,athlete,sports,football,baseball,racing,challenging,competetive,winner,loser,participant,populart,popular,famous,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2028,water,sink,ocean,fish,lake,eat,swim,suit,tie,bank,home,house,window,floor,coffee,kitchen,ham,cheese,milk,ice,man,woman,boy,girl,three,fire,tore,top,pot,over,veto,large,mentionn,hover,right,wrong,vote,booth,check,ballot,near,far,year,time,pout,pour,well,people,trying,typing,word,dictionary,tell,link,play,click,mail,deliver,obtain,law,lever,judge,panel,verdict,note,jail,inmate,lock,incarcerate,appeal,grant,elect,nominate,tree,floral,leaf,stem,root,mineral,vitamin,health,wilting,organ,diet,habit,monk,nun,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2029,water,drink,soda,pop,father,mom,caring,useful,tool,belt,support,helper,aide,foreign,country,mexico,vacation,relax,beach,sand,cocktail,drink,party,friends,together,fun,happy,carnival,festivity,gathering,event,happening,fun,excitement,surprise,gift,giving,charity,important,needed,food,water,eating,dining,menu,waiter,meal,evening,relax,movie,comedy,laughing,drama,award,winning,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2030,body,arm,hand,finger,thumb,nail,clear,skin,tan,brown,white,skin,fair,freckles,brown,skin,wrinkles,age,old,new,young,teen,fun,party,july,summer,picnic,chicken,fried,grease,unhealthy,diet,weight,lose,game,wsoftball,pitcher,lemonaide,lemons,cooing,grill,food,gathering,family,christmas,presents,wrap,bow,tiw,suit,business,profit,money,greedy,wealthy,vacation,hawaii,beach,sum, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2031,body,image,light,wave,ocean,sea,harbor,lights,christmas,sant,claus,insurance,agent,spy,war,peace,train,engine,locomotive,breath,lips,mac,big,little,small,idea,smart,house,home,study,den,mark,question,answer,survey,mturk,amazon,prime,minister,chuch,service,industry,wide,angle,math,problem,solution,money,power,source,out,in,up,down,left,right,wrong,mistake,honest,abe,lincoln,log,cabin,fever,pitch,baseball,player,pimp,hooker,sex,drugs,pain,pleasure,island,keys,door,window,pane,joy,laughter,smile,camera,lens,photo,genic,dna,heredity,family,friends,enemies,combat,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2032,water,bucket,full,food,eating,food,tasty,sweet,granddaughter,silly,comedy,laugh,funny,joles,storys,reading,fiction,books,cooking,pans,fry,fish,water,swimming,pool,water,lake,boat,ski,swim,stroke,arms,body,shape,fat,diet,snacks,chips,wood,fire,,camping,tents,bear,animals,dogs,bark,loud,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2034,water,bottle,cap,hat,head,person,woman,man,child,baby,cry,laugh,smile,happy,loved,heart,body,arm,leg,foot,shoe,clothes,shirt,pants,socks,foot,hand,glove,finger,toes,ground,sky,clouds,rain,weather,sun,shine,light,dark,night,day,morning,awake,sleep,bed,pilliow,blanket,r, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2036,water,lake,pond,fish,food,steak,beef,cow,farm,chicken,egg,bacon,breakfast,meal,dinner,evening,stars,moon,planet,galaxy,universe,space,rocket,missile,war,soldier,army,march,month,calendar,time,clock,hands,feet,leg,body,shape,square,block,city,people,society,culture,country,land,field,fence,picket,line,straight,direction,left,turn,twirl,spin,wheel,car,passenger,train,tracks,animal,mammal, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2038,water,oil,sand,beach,ocean,breeze,air,oxygen,element,chemicals,industry,pollution,control,thought,idea,bright,sun,shine,bright,vision,sense,rational,logical,conclusion,ending,beginning,creation,god,infinite,reality,art,painting,museum,culture,sophisticated,learned,educated,university,students,eager,beaver,dam,energy,nuclear,fusion,combine,unite,partnership,goals,achieving,progress,science,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2039,body,part,car,boat,water,fish,eat,food,drink,beer,wine,candy,oatmeal,dirt,fire,sky,street,plane,train,travel,wor,play,sleep,nap,hike,walk,bike,swim,run,jump,ball,balloon,river,dance,music,guitar,piano,drum,east,west,sun,moon,electricity,lightbulb,candle,tent,trailer,skateboard,island,dream,picnic,insect,river,tree,paper,ribbon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2040,water,bag,candy,sweet,heart,throb,sound,aloud,silence,golden,mean,heart,mum,word,list,page,book,worm,earth,globe,water,seas,wave,length,long,winded,road,car,wagon,ride,horse,barn,yard,bird,nest,egg,breakfast,room,plate,food,shop,cart,load,car,store,room,bed,sleep,sheet,cotton,silk,worm,cloth,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2042,body,part,time,clock,hour,minute,rice,boil,water,ocean,spray,bottle,top,bottom,end,beginning,middle,between,rock,cliff,mountain,valley,canyon,crevasse,gorge,waterfall,rapids,raft,boat,ship,float,bob,dive,snorkel,mask,goggles,strap,whip,snap,crackle,pop,crispy,fried,chicken,little,sky,falling,goose,gander,bird,duck,robin,sparrow,owl,mouse,rodent,vermin,cat,kitten,whisker,biscuit,gravy,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2043,body,arm,hand,finger,nails,toes,feet,sandles,beach,ball,basket,garbage,trash,stinky,feet,ankle,leg,chicken,coop,house,roof,shingles,nails,hammer,pound,meat,cook,chef,restaurant,foo,hungry,salad,healthy,exercise,weights,gym,equipment,benchpress,chest,woman,dress,floral,flowers,echinechea,medicine,sick,flu,hospita,doctors,bed,bedroom,dresser,clothes,used,car,wheels,tire,swing,playground,kids,mom,dad,parents,grandma,grandpa,visit,house,cozy,blanket,cold,winter,snow,snowman,carrot,rabbit,easter,candy,shop,store,parking,lines,parallel,math,geometry,algebra,equations,teacher,classroom,chalkboard,eraser,pencil,lead,water,pipes,clamp,tool,shed,ladder,roof,awning,porch,patio,chair,table,bbq,picnic,outside,sun,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2045,body,arm,leg,foot,shoe,sock,clothes,shirt,pants,clothes,store,shopping,food,pizza,cheese,cow,milk,millkchocolate,candy,sweets,icecream,frozen,ice,snow,cold,weather,hot,sun,stars,moon,night,sleep,tired,bed,room,computer,games,videogames,electronics,tv,shows,time,watch,clock,mantle,fireplace,fire,logs,trees,forest,animals,squirrels,nuts,peanuts,elephants,zoo,monkeys,swinging,swings,playground,childhood,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2046,body,arm,hand,finger,nail,polish,paint,walls,house,carpet,vacuum,dirty,clean,wipes,diapers,baby,milk,bottle,food,life,animal,cat,run,jump,climb,monkey,banana,fruit,healthy,excercize,run,walk,jog,weights,gym,workout,shape,active,play,swim,dive,surf,waves,ocean,fish,shark,sand,castle,ancient,mummies,tomb,curse,magic,disney,movies,entertainment,fun,sports,kick,hit,run,catch,throw,ball,fetch,dog,friend,family,love,picnic,table,food,water,park,lake,boat,fishing,worms,bail,bait,cast,reel,skin,tan,sunburn,heat,sweat,hydrate,fluid,water,bathe,soap,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2048,water,bottle,plastic,recycle,reuse,reduce,waste,trash,garbage,disposal,removal,consider,evaluate,think,thoughts,mentality,conscience,morality,thoughts,mentality,consideration,evaluation,contemplation,conviction,purpose,important,significant,sizable,large,big,size,weight,mass,space,room,area,room,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2049,body,part,car,motor,cycle,bike,feet,hands,body,skin,hair,ponytail,crewcut,buzzed,clippers,scissors,cut,knife,sharp,pain,broken,fix,part,tools,hammer,hit,build,house,roof,siding,slope,grass,yard,mower,mow,maintain,hire,work,lawn,flowers,gardening,summer,spring,weather,temperture,heat,snow,rain,umbrella,lightning,thunder,storm,hurrican,water,flooding,damage,repair,help,rescue,firefighter,ambulance,hospital,er,doctor,surgery,stitches,cast,bandage,medicine,pharmacy,pharmacist,perscription,pill,bottle,care,sick,sickness,fever,condition,shampoo,soap,water,bath,relax,wine,beer,food,dinner,meal,plate,fork,knife,spoon,bowl,icecream,dessert,sweet,sugar,happy,smile,frown,sad,depression,sleeping,pillow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2050,water,pool,lake,boat,fish,meal,dinner,plate,white,black,taco,meat,butcher,store,money,shopping,online,internet,bill,paper,office,chair,comfortable,bed,sleep,nap,afternoon,morning,breakfast,toast,marshmallow,campfire,crackling,wood,desk,sit,stand,run,jump,bridge,drive,car,wheel,bike,helmet,safety,net,fish,swim,class,pencil,eraser,pink,flower,rose,titanic,iceberg,float,fat,skinny,jeans,pants,shorts,summer,winter,snow,shovel,beach,sand,volleyball,gym,clothes,dresser,cabinet,kitchen,fork,poke,jab,punc,fruit,banana,yellow,hat,cap,baseball,field,grass,green,icecream,cold,flu,medicine,pills,bottle,water,div,scuba,whale,shark,aquarium,glass,tube,chemistry,class,note, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
