ID,cue,word  1,word  2,word  3,word  4,word  5,word  6,word  7,word  8,word  9,word  10,word  11,word  12,word  13,word  14,word  15,word  16,word  17,word  18,word  19,word  20,word  21,word  22,word  23,word  24,word  25,word  26,word  27,word  28,word  29,word  30,word  31,word  32,word  33,word  34,word  35,word  36,word  37,word  38,word  39,word  40,word  41,word  42,word  43,word  44,word  45,word  46,word  47,word  48,word  49,word  50,word  51,word  52,word  53,word  54,word  55,word  56,word  57,word  58,word  59,word  60,word  61,word  62,word  63,word  64,word  65,word  66,word  67,word  68,word  69,word  70,word  71,word  72,word  73,word  74,word  75,word  76,word  77,word  78,word  79,word  80,word  81,word  82,word  83,word  84,word  85,word  86,word  87,word  88,word  89,word  90,word  91,word  92,word  93,word  94,word  95,word  96,word  97,word  98,word  99,word  100,word  101,word  102,word  103,word  104,word  105,word  106,word  107,word  108,word  109,word  110,word  111,word  112,word  113,word  114,word  115,word  116,word  117,word  118,word  119,word  120,word  121,word  122,word  123,word  124,word  125,word  126,word  127,word  128,word  129,word  130,word  131,word  132,word  133,word  134,word  135
2012,body,bodyfat,fatshaming,fatphobia,dismorphia,disassociation,associate,clerical,cleanliness,clean,cleanse,skincare,acne,spots,stripes,patterns,colours,rainbow,rain,clouds,drops,droplets,storm,flood,greyskies,stormy,weather,anchor,news,reporter,headline,bulletin,information,article,newspaper,journalist,investigation,digging,undercover,secrecy,lies,truth,games,players,family,comfort,home,dog,cute,lovely,safe,threatened,burglar,safety,threat,confident,alert,concious,responsive,drama,tv,series,cuddling,food,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2013,body,mind,spirit,alcohol,beer,drink,hot,coffee,beans,baked,bread,slices,cake,tea,bag,plastic,surgery,knife,fork,spoon,cutlery,plates,table,chairs,sofa,cushions,cover,duvet,bed,bedroom,house,garden,grass,soil,plants,leaves,flower,petals,rose,smell,nose,face,eyes,pupil,school,teacher,books,library,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2014,water,bottle,drink,thirsty,hungry,food,cooking,tv,relaxing,sofa,blanket,warmth,fireplace,winter,snow,walking,boots,clothing,fashion,shopping,outing,camping,holiday,beach,sand,summer,hot,abroad,plane,flying,suitcase,luggage,vacation,sunbathing,outside,breeze,beach,relaxing,reading,book,audio,headphones,music,concert,performance,dance,drink,wine,social,friends,fun,eating,meal,cooking,hobby,experimenting,taste,aisa,traveling,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2015,water,slide,ball,chain,glass,water,drink,cat,,bell,,liberty,crack,sunny,fog,california,seals,home,rocks,dirt,taste,worm,squirm,lier,liar,jimcarrey,face,rubber,ball,throw,dog,grass,picnic,ants,blanket,basket,toys,kids,baboes,babies,twins,shining,jack,roque,stroke,wendy,nipples,strong,axe,fireman,fire,water,drink,glass,cta,cat,bell,liberty,crack,sunny,jokes,funny,show,elephant,grey,fat,soap,fight,club,skinny,anorexic,eat,food,apple,peanutbutter,dog,show,girl,showgirls,pie,cherry,eat,food,cat,wetfood,smack,old,frail,weak,die,love,miss,ball,cat,dress,flare,sun,spaceship,jupiter,small,large,healthy,bird,fluff,fat,waddle,squeak,bird,chicken,eat,food,apple,teacher,nonsense,calligraphy,bubble,blow,kid,rope,strings,bi, , , , , , , , , , , , , ,
2017,body,heart,organ,piano,instrument,flute,wind,leaves,trees,plants,cactus,desert,sand,beach,ocean,crab,seafood,butter,dairy,cows,farm,pigs,bacon,breakfast,lunch,dinner,restaurant,plates,spoons,forks,utensil,silver,earrings,jewlery,necklace,pendant,jewel,diamond,expensive,money,bank,check,bill,rent,stress,class,school,zoom,homework,essay,writing,reading,books,paper,wood,cabinet,doors,windows,glass,vase,flowers,petals,stem,dirt,worm,bug,spider,web,internet,computer,browser,email,google,search,look,eyes,glasses,frames,painting,museum,gallery,exhibition,observe,learn,teacher,student,study,library,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2018,body,type,shape,circle,round,table,chair,leg,shin,splint,bed,head,hair,color,dye,hue,light,dark,deep,thought,think,idea,creativity,hope,journal,write,pen,ink,flow,yoga,stretch,lunge,run,fast,speed,bus,public,germs,hands,holding,keeping,treasure,bury,dig,shovel,spade,garden,plant,flower,grow,big,tall,high,sky,up,reach,influence,attraction,like,crush,pain,life,kids,tired,sleep,bed,dream,comfort,rest,relaxation,spa,bath,bubbles,outside,nature,green,trees,branches,climbing,walls,belay,harness,flying,swooping,soar,view,picture, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2019,body,hand,nail,hammer,wrestling,sport,basketball,winner,abba,pop,singer,beyonce,queen,royal,palace,rich,money,government,politics,dictator,power,greed,food,burger,franchise,own,lend,bank,loan,return,goods,merchant,shakespeare,play,literature,book,store,security,police,crime,jail,court,judge,witness,snitch,gang,trouble,drugs,overdose,hospital,sick,patient,death,life,baby,mother,marriage,kiss,love,food,soul,belief,religion,god,jesus,prophet,wise,beard,face,beauty,makeup,cosmetic,price,expensive,musical,joseph,moses,dreamworks,disney,cartoons,animation,madagascar,america,station,subway,sublong,peperonni,pizza,italy,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2022,body,arm,leg,head,eye,teeth,mouth,big,cheese,edam,made,sewn,eyes,heart,sweet,tie,knot,weed,smoke,chimney,pollution,breathing,gasp,air,pollution,climate,area,field,fine,great,huge,feet,chair,seat,sit,bum,big,huge,eyes,see,eat,tied,diet,hungry,thirsty,tea,dinner,eggs,chickens,farms,pigs,stye,smell,taste,buds,ears,lobes,lungs,breathe,chesty,wheezy,dwarves,tiny,small,tee,shirt,tails,cats,furry,bushy,tail,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2023,water,liquid,drink,mouth,lips,skin,face,jaw,teeth,brush,hair,fur,animal,pet,dog,cat,mouse,cheese,pizza,italy,gondola,boat,fish,hook,captain,army,navy,colour,red,blood,vampire,garlic,bread,sandwich,chicken,egg,first,one,top,winner,best,victorious,impressed,press,newspaper,magazine,book,read,write,school,people,friends,family,relate,similar,different,weird,odd,strange,stranger,unknown,mabe,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2024,water,drops,sweets,lolly,summer,sun,happy,family,mom,aunt,marriage,wedding,church,religion,muslim,jewish,hannaka,candles,flame,fire,camping,tent,forest,bear,chase,games,friends,school,old,shrivelled,prawn,seafood,fisherman,sea,beach,bikini,woman,beautiful,flower,bee,buzz,toystory,films,titanic,death,sad,cry,emotions,suprised,birthday,babies,cute,innocent,justice,court,judge,prison,lock,key,door,house,home,c, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2025,water,ocean,sea,river,nile,egypt,pyramid,shape,math,geometry,vector,algebra,arabic,islam,christianity,judaism,religion,culture,movie,film,television,netflix,technology,science,physics,einstein,princeton,university,education,learning,teaching,mentoring,advice,therapist,psychology,freud,austria,hungary,magyar,migration,nomadic,mongol,genghis,mughul,india,bengal,raj,famine,ethiopia,somalia,kenya,swahili,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2026,body,strong,mind,business,man,kind,soul,mate,first,date,time,change,history,lesson,let,house,cards,game,changer,disc,slipped,mind,business,process,map,mind,bender,drink,safely,cross,word,puzzle,maze,life,changing,weather,climate,polar,region,microplastics,fleeces,synthetic,fibre,optic,internet,commu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2028,water,fall,,,,deep,water,jug,bottle,cap,tain,color,red,rose,flower,garden,place,home,work,happy,day,night,fall,rise,money,bank,credit,bill,paper,pen,pencil,book,worm,animal,creature,monster,horror,film,movie,theatre,people,humans,heart,science,smart,helpful,police,safety,signs,planet,earth,day,holiday,cruise,sea,water,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2029,water,tap,sink,boat,ship,cruise,holiday,warm,bread,cheese,diary,farm,pig,animal,dog,cat,pet,horse,gallup,run,race,sports,ball,play,children,little,sausage,hotdog,bonfire,cold,drink,straw,hay,field,green,colour,tv,programmes,watch,movies,hollywood,america,country,travel,plane,fly,superhero,comic,book,read,glasses,accessories,clothes,cotton,pillowcase,sleep,bed,rest,stop,pause,game,computer,work,write,type,fingers,body,death,heaven,angels,christmas,tree,forest,wood,timber,construction,buildings,city,pollution,oil,cooking,kitchen,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2031,water,tap,sink,basin,toilet,loo,bathroom,shower,bath,water,river,outdoors,garden,sun,clouds,sky,night,evening,morning,tired,sleepy,nap,tired,bed,bedroom,house,garden,grass,plants,bees,insects,wasps,bees,spiders,spiderweb,halloween,seasons,winter,snow,christmas,santa,reindeer,sleigh,stars,night,moon,sky,clouds,night,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2033,water,glass,drink,thirsty,hungry,food,hamburger,mcdonalds,fries,ketchup,kitchen,house,home,newyork,cold,winter,snow,depression,anxiety,sad,unhappy,alone,lonely,friends,chad,arkansas,usa,war,news,russia,anxiety,covid,fear,afraid,hide,lonely,depressed,medicine,drug,addiction,pain,sadness,anxious,ulcer,burning,endoscopy,fear,death,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2035,body,mind,soul,cowboy,hat,scarf,warm,cold,ice,cool,suave,debonaire,strides,walks,hilly,grass,mowing,lawn,garden,pigeon,sea,waves,hello,goodbye,depart,journey,travel,escape,relax,massage,masseur,hands,feet,inches,moves,chess,draughts,wind,howling,foxes,scurry,hide,peer,reach,touch,finger,print,write,pen,ink,black,night,dark,light,bright,dim,alter,change,move,adjust,tinker,tailor,soldier,spy,spook,frighten,alarm,noise,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2036,body,part,piece,blob,slime,grunge,green,forest,grass,wild,nature,birds,trees,sticks,animals,life,baby,people,groups,friends,family,school,work,jobs,sleep,tired,hungry,food,pizza,cheese,tasty,favourite,nice,pleasing,uniqe,happy,equal,nice,kind,good,fair,lively,out,party,drinks,fun,nightlife,drinks,lights,cold,chilly,windy,rain,,wet,weather,dull,bright,quick,slow,snail,bugs,spiders,flies,weeds,wildlife,calm,peaceful,serene,open,closed,door,gate,path,fence,lock,wood,shed,shack,basket,picnic,snacks,blanket,summer,spring,autumn,winter,christmas,trees,lit,fire,turkey,chestnuts,roast,joyful,,,clean,tidy,white,bacterial,hygienic,covid,health,care,hospital,doctors,nurses,carers,old,elderly,experienced,moral,biblical,music,festival,, , , , , , , , , , , , , , , , , ,
2038,water,ice,cold,temperature,thermometer,doctor,sickness,covid,lockdown,forbidden,communist,russia,disallow,authoritarian,tyranny,unhelpful,scary,masks,vaccines,blame,drowning,rescue,inside,protection,safety,coverup,prison,travel,freedom,escape,hidden,pretending,stealth,quiet,frozen,invisible,quietly,ninja,unobvious,facade,mask,twenties,underground,hidden,fun,prohibition,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2039,body,arm,leg,foot,shoe,laces,socks,trousers,suit,business,office,chair,desk,lamp,bulb,flower,soil,garden,decking,seating,table,restaurant,food,drink,cola,ice,bucket,spade,beach,sea,fish,boat,swim,pool,sun,holiday,aeroplane,airport,lounge,sofa,tv,book,read,news,website,internet,computer,game,console,joypad,fun,entertainment,theatre,evening,walk,dog,pet,cat,scratch,itch,burn,scald,fire,bonfire,fireworks,celebrate,birthday,cake,party,dance,move,run,athlete,olympics,cyclist,bicycle,skateboard,ramp,climb,hill,mountain,ski,snow,play,drama,lesson,school,teacher,pupil,eye,nose,ear,mouth,teeth,dentist,doctor,hospital,patient,nurse,break,bone,skull,ske, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2040,water,wet,liquid,mercury,metal,strength,durability,hard,flexible,rubber,hard,soft,comfortable,pleasing,enjoyable,happy,pleased,content,rested,relaxed,smooth,arousing,texture,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2041,water,wet,sheen,glossy,smooth,flat,iron,clothes,closet,bedroom,bed,dresser,mirror,reflection,shopping,fun,money,cost,inflation,dow,bitcoin,stock,costly,expensive,nice,have,poor,middle,sister,brother,cousin,mom,dad,aunt,uncle,family,baby,girl,toys,crib,teddybear,diapers,pet,dog,cat,rabbit,hamster,snake,animals,zoo,vet,love,date,marriage,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2042,body,face,jaw,shark,fish,dolphin,intelligent,human,ambition,destruction,buildings,skyscraper,sky,clouds,rain,mist,wet,water,clean,nature,moss,scrub,hard,stone,smooth,silk,material,wool,sheep,mammal,giraffe,desert,trees,green,blue,gem,sharp,knife,steel,bridge,troll,fairytale,story,book,sit,warm,fire,hot,heat,burn,flame,spark,electric,car,speed,bullet,precise,surgeon,doctor,knwoledge, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2043,body,soul,mind,games,fun,toy,kid,young,scrolls,elder,god,lord,legend,ancient,dragon,power,warrior,mage,magic,strength,sword,fish,ocean,water,glass,animals,lion,jungle,monkey,vine,video,music,artist,painting,oil,water,sea,thieves,rogue,army,legion,imperial,khajiit,cat,paw,dog,puppy,kitten,cute,kawaii,japan,pink,purple,blue,whale,shrimp,dinner,food,vegetables,carrot,aubergine,eggplant,breakfast,waffle,coffee,brown,bear,cub,disney,animation,ghibli,no-face,childhood,home,music,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2044,body,hair,arm,feet,face,nails,fingers,hands,legs,trunk,chest,eyes,nose,eyebrows,eyelashes,breasts,bellybutton],bum,cheeks,mouth,teeth,tongue,lips,eyes,coroas,pupils,brown,blue,green,hazel,grey,bluew,wrinkles,smooth,skin,pink,brown,red,white,black,yellow,blue,grey,toes,blood,vessals,heart,lungs,throat,breath,stomach,ribs,bones,joints,movement,red,brown,blond,mouth,enamels,caluilm,ribs,lungs,liver,kindeys,womb,period,eggs,wee,unrie,bladder,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2045,water,drop,down,up,side,walk,away,far,space,ship,sea,horse,chestnut,roast,chicken,drumstick,leg,hairy,fur,bear,claw,crab,snip,scissors,hair,long,distance,mile,journey,holida,relax,massage,spa,sauna,hot,desert,cactus,spine,tree,leaf,maple,sweet,sugar,baking,kitchen,oven,pie,apple,fruit,salad,healthy,exercise,running,beach,waves,xrays,bones,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2046,body,mind,brain,tissue,skin,burn,cream,ointment,topical,external,outside,inside,top,bottom,left,right,north,south,west,east,direction,compass,navigate,gps,maps,lost,found,venue,in-house,outdoor,party,event,conference,expo,market,fruit,vegetables,sauce,homemade,bakin,baking,cooking,fry,stir,bake,blanche,smear,sticky,soft,tasty,food,dinner,breakfast,lunch,meal,nutritious,unhealthy,fat,sugar,calories,diet,organic,wholegrain,allergy,nuts,oil,peanuts,rice,pasta,gluten,eggs,flour,salt,stir,mix,combine,add,subtract,multiply,divide,math,english,school,teacher,student,professor,class,recess,play,playground,pause,break,socialize,friends,introvert,extrovert,talkative,shy,loner,popu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2047,body,chain,lap,hair,grown,lag,floor,key,cap,bundle,air,day,hour,moment,king,home,web,beautiful,cupboard,gas,dog,experiment,doctor,allow,starters,plan,abort,keeping,dont,plan,cash,dooe,allow,project,earpiece,web,search,type,time,fridge,computer,mob,towel,camp,red,green,net,allow,cap,floor,window,escape,debug,black,champion,intera, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2049,body,mind,game,child,brother,sister,mother,care,harm,suffer,think,talk,listen,heal,mother,baby,helpless,responsability,care,love,hate,fear,submission,battle,win,lose,life,death,r,god,parent,father,space,w,sma,small,atom,universe,soil,decay,mould,reek,burrow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2050,water,polo,fruit,sand,castle,vein,ore,rain,bus,school,coat,timetable,rest,farm,house,friend,rich,spare,recruit,free,mask,jump,finger,cold,rush,zone,intern,rehab,crime,nature,dream,dust,reality,empire,simple,space,time,kindling,fire,atmosphere,sphere,thought,bread,fried,vehicle,kind,slurp,gurgle,drama,phantom,murder,look,under,cash,revamp,hippo,arid,lough,mountain,android,female,male,aspirin,reading,solid,face,head,eden,cry,hipster,weeds,scar,grace,nimble,opera,guitar,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2052,water,fall,down,up,lift,elevator,american,usa,guns,weapons,idiots,men,anger,fear,survive,wilderness,artic,bear,danger,snake,noodle,chinese,dinner,hungry,eating,cake,birthday,surprise,upset,cry,sad,movie,titanic,ship,navy,seal,barking,dog,cat,scratch,post,box,packing,moving,house,home,warm,sleep,tired,book,read,literature,shakespeare,comedy,laugh,giggle,friends,drinks,meal,restaurant,music,guitar,string,theory,sheldon,autism,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2053,water,father,mother,trip,food,shoes,happy,far,comfort,ball,run,turn,fun,moon,sun,stars,sky,hero,girl,ice,mice,dogs,short,fierce,hunger,angry,sad,mad,hat,eyes,smile,file,work,car,drive,movies,music,cartoon,humour,television,radio,disc,soft,drink,crisps,flower,number,school,morning,friends,play,enemies,jealousy,thoughts,simple,complicated,stress,calm,peace,home,room,dusk,sunlight,midnight,quiet,blanket,pillow,headphones,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2054,water,liquid,juice,orange,fruit,orange,juice,milk,cream,butter,cheesecake,sweet,candy,chocolate,milk,fat,mcdonalds,salt,sugar,sweet,strawberry,banana,yellow,green,grass,tree,dog,puppy,pet,snake,scary,ghost,dead,grave,funeral,family,together,party,alcohol,drunk,hungover,food,burger,cheese,butter,milk,cow,grass,tree,plants,bees,pollen,hayfever,sneezing,sore,hurt,pain,eyes,see,glasses,eyecheck,expensive,yatcht,sea,fish,river,fishing,peace,quiet,silence,relaxing,candles,dark,night,sleep,tired,drowsy,coffee,milk,ice,cold,antartica,south,earth,globe,solarsystem,space,planets,mars,galaxy,aliens,scary,mars,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2055,body,armour,metal,iron,board,black,school,knowledge,power,responsability,family,son,brother,mother,love,mariage,responsabilities,,duties,work,finance,aids,help,savior,religion,lie,oppression,dictature,country,poverty,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
