ID,cue,word  1,word  2,word  3,word  4,word  5,word  6,word  7,word  8,word  9,word  10,word  11,word  12,word  13,word  14,word  15,word  16,word  17,word  18,word  19,word  20,word  21,word  22,word  23,word  24,word  25,word  26,word  27,word  28,word  29,word  30,word  31,word  32,word  33,word  34,word  35,word  36,word  37,word  38,word  39,word  40,word  41,word  42,word  43,word  44,word  45,word  46,word  47,word  48,word  49,word  50,word  51,word  52,word  53,word  54,word  55,word  56,word  57,word  58,word  59,word  60,word  61,word  62,word  63,word  64,word  65,word  66,word  67,word  68,word  69,word  70,word  71,word  72,word  73,word  74,word  75,word  76,word  77,word  78,word  79,word  80,word  81,word  82,word  83,word  84,word  85,word  86,word  87,word  88,word  89,word  90,word  91,word  92,word  93,word  94,word  95,word  96,word  97,word  98,word  99,word  100,word  101,word  102,word  103,word  104,word  105,word  106,word  107,word  108,word  109,word  110,word  111,word  112,word  113,word  114,word  115,word  116,word  117,word  118,word  119,word  120,word  121,word  122,word  123,word  124,word  125,word  126,word  127,word  128,word  129,word  130,word  131,word  132,word  133,word  134,word  135,word  136,word  137,word  138,word  139,word  140,word  141,word  142,word  143,word  144,word  145,word  146,word  147,word  148,word  149,word  150,word  151
2012,water,waterpark,ride,logflume,spray,bottle,lid,twist,shout,scream,run,trip,fall,flat,up,down,out,door,lock,key,cut,work,factory,machinery,operator,clipboard,hat,mechanic,study,school,university,lecture,professor,learning,students,graduation,dorms,life,freedom,choices,potential,options,unwritten,script,words,play,acting,shows,theatre,pantomime,history,cheesy,enjoyable,fun,silly,immature,escapism,enjoyable,predictable,safe,content,enjoy,calmness,meditation,appreciation,manifestation,overthinking,clearance,appreciation,awareness,understanding,listening,appreciating,hearing,active,gym,fitness,goals,pressure,intimidation,confidence,comfortable,relaxed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,water,lake,river,sea,ocean,world,continent,europe,france,champagne,wine,grapes,fruit,juice,smoothy,blender,blade,sword,knight,chess,games,computer,laptop,software,spreadsheet,numbers,words,book,story,fiction,bath,bathroom,apartment,holiday,sand,beach,bucket,spade,cards,gambling,vegas,hotels,lights,bright,star,sky,television,speakers,radio,station,platform,train,ticket,fine,inspector,hygiene,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,body,human,people,busy,crowded,town,gathering,festival,food,burger,cheap,ikea,furniture,flatpack,diy,tools,drill,screws,shelves,kitchen,cleaning,hoover,rug,warm,cosy,knitted,jumper,clothing,wardrobe,bedroom,bed,pillows,sleep,relaxed,bath,bubbles,children,noisy,outside,park,trees,flowers,gardening,outside,walking,hiking,mountains,fitness,running,gym,membership,money,working,laptop,internet,streaming,netflix,chilled,relaxed,facemask,selfcare,pam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,body,death,river,body,floating,facedown,worms,beer,men,hunt,rifle,shoot,kill,deer,shot,blood,boy,man,gross,evil,river,drown,kill,deer,hide,mountain,turtle,shell,hide,head,poke,pencil,dot,grandma,apple,bake,icecream,mint,plums,grandpa,formica,coffee,sputter,cup,glass,cowboy,book,chariot,horses,hooves,dust,bandana,dust,cows,cattle,ride,hard,soft,limp,walk,shoes,tennis,skirt,thighs,brown,sun,tan,friend,lipstick,smile,glasses,red,nailpolish,fingers,hotdogs,movies,butter,potato,valentines,chantilly,greenbeans,gravy,love,family,thanksgiving,bird,clock,grandma,small,toe,dip,carrot,spicanch,spinach,popeye,yams,christmas,hams,nutmeg,hercules,hades,goatee,goat,parrot,budgie,die,pie,cherry,soda,young,highschool,eat,bagel,newyork,brother,woodworking,chisel,gouge,blood,drip,hunter,snow,drops,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,water,ocean,fish,lobster,shrimp,scampi,pasta,garlic,onions,cooking,pan,oil,vinegar,salad,lettuce,carrots,bunnies,pets,dog,cat,mouse,rat,subway,card,birthday,cake,candle,flame,fire,marshmellow,smores,chocolate,bar,drinks,vodka,soda,sprite,lemn,lime,citrus,orange,creamsicle,icecream,summer,hot,beach,towel,sunscreen,tan,lotion,moisturize,skincare,acne,retinol,serum,relaxation,spa,massage,oil,aromatherapy,eucalyptus,herbal,mint,sage,lavender,purple,grapes,fruit,strawberries,rasbperries,blueberries,blackberries,banana,smoothie,juice,kale,spinach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,water,wet,soap,suds,slippery,silent,sneaky,swords,knife,cut,tip,nib,ink,bleed,smudge,smear,mark,marker,colour,crayon,wax,candle,drip,drop,blip,beep,chirp,robot,droid,space,stars,ships,travel,far,away,gone,distant,maps,treasure,follow,hints,clues,leads,detective,investigate,find,save,game,play,solve,riddle,puzzle,box,trap,trick,sneak,rogue,stealth,shadow,dagger,fwip,throw,oracle,see,know,omnipotent,hubris,downfall,funny,slapstick,comdey,humor,laughs,jokes,puns,dads,shorts,sandals,beach,sand,water,ocean,swim,surf,foam,mermaid,fable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,water,volvic,brand,nike,trainers,ball,worldcup,tournament,rules,win,lose,amuptate,paralympic,training,pain,endurance,record,best,ambition,career,dream,maternity,stop,break,holiday,sun,tropics,monsoon,india,east,wisemen,nativity,christmas,cold,lemsip,medicine,cure,sweet,honey,bees,insect,bite,red,swollen,sooth,pain,wirk,effort,harvest,land,soil,water,life,heaven,hell,destruction,demon,thief,burgarly,murder,bars,boxing,punch,beatdown,knockout,numb,crazy,bored,ruthless,cold,scary,cautious,fear,lion,bug,intimate,love,girl,kiss,sex,baby,abortion,right,law,congress,corrupt,bias,limited,rare,coin,money,gold,vault,gymnastics,skill,core,centre,hot,emotions,influence,nurture,environment,beautiful,nature,stunning,expansive,changing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,water,wet,clothes,off,on,aware,scared,dirty,clean,water,drink,tea,calm,water,drown,cold,warm,heart,ache,sore,body,bag,shopping,cart,horse,race,ethnicity,black,appropriation,indigenous,indian,takeaway,food,eat,drink,laugh,merry,christmas,santa,red,coke,cocaine,white,snow,white,dwarves,seven,lucky,fate,prediction,luck,happy,ness,loch,scotland,kilt,men,hairy,bear,suit,armour,car,chase,cul-de-sac,houses,flat,home,bedroom,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,body,arms,hands,feet,shoes,walk,run,jog,exercise,fitness,health,rest,sleep,bed,nap,cosy,comfortable,warm,fire,burn,hot,sauna,sweat,wet,drenched,water,rain,puddle,splash,dive,swim,laps,race,win,lose,lost,loser,winner,medal,gold,money,wealth,rich,fame,famous,celebrity,popularity,school,clique,outside,cold,lonely,lost,guide,map,road,path,woods,forest,park,grass,land,mud,cows,farm,farmer,food,hay,horse,ride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,body,lake,camping,men,whiskey,weekend,fun,games,twister,colors,rainbow,sky,heaven,god,angels,wings,fairy,mushrooms,yummy,hotdogs,pigs,farm,field,green,trees,monkey,steal,thief,bad,rotten,fruit,cherry,tasty,pizza,evening,sleep,bed,cosy,cat,whiskers,movement,creeping,murderer,knife,body,grave,forever,infinity,promise,ring,gift,present,future,unknown,adventure,sports,kar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,body,leg,thigh,squat,exercise,gym,deadlift,glutes,buttocks,muscle,bodybuilder,steroids,testosterone,hormone,biology,evolution,darwin,expedition,magellan,explorer,cook,australia,desert,sahara,tuareg,berber,morocco,algeria,tunisia,carthage,hannibal,scipio,rome,caesar,augustus,empire,spain,colonization,americas,cuba,slaves,africa,europe,asia,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,water,course,mark,birth,day,time,flies,everywhere,nowhere,man,kind,person,gender,neutral,earth,yellow,green,agenda,meeting,minds,together,forever,home,warm,bed,time,late,tired,waiting,around,clock,work,finish,plaster,board,member,club,golf,course,work,exams,study,hard,tired,repeats,television,guide,mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,body,heart,head,eyes,arms,legs,fingers,hair,feet,butt,nose,mouth,tongue,lips,shoulders,nails,pinky,fingers,human,type,works,health,doctor,age,disease,fruits,vegetables,food,water,clothes,shoes,socks,pants,shorts,underwear,shirt,image,shame,model,fit,strong,weak,care,products,wellness,thing,man,woman,style,stomach,ribs,bones,brain,nurse,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,body,dead,flowers,garden,summer,drinks,pub,dark,night,cold,warm,holiday,family,home,cosy,fire,marshmallows,sweets,halloween,scary,movie,cinema,date,love,marry,wedding,celebration,party,cake,baking,kitchen,house,neighbour,music,loud,quiet,soft,sand,beach,dog,stick,wood,furniture,shop,money,bank,town,out,air,breathe,lung,smoke,cigarette,health,hospital,baby,toys,box,cardboard,material,silk,luxury,expensive,rich,posh,old,age,birthday,presents,unwrap,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,body,skin,face,nose,eyes,mouth,ears,neck,hair,hands,feet,toes,nails,skin,human,people,family,love,children,joy,happy,together,happy,fun,people,dance,together,party,wedding,love,celebration,happiness,joy,cheerful,smile,teeth,mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,body,head,hair,face,eyes,nose,ears,teeth,dentist,doctor,college,school,highschool,past,time,age,thirty,nostalgic,sad,friend,gone,time,past,family,brother,sister,mom,dad,old,sickness,afraid,scared,hide,inside,room,home,trapped,house,room,tv,movies,bladerunner,music,synthwave,vaporwave,spotify,youtube,disneyplus,starwars,boba,show,good,boardgame,monopoly,battleship,mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,water,table,show,illustrate,picture,draw,scribble,loud,noise,echo,draught,combine,add,together,join,seam,bowl,cat,flap,shake,window,dresser,clothing,spray,neuter,animal,dog,bark,howl,wolf,hairy,shaves,legs,arms,nose,sniff,pong,tennis,racquet,bat,ball,round,circle,square,tight,lipped,edge,skirting,house,proud,shine,polish,window,ledge,legend,paper,weight,hefty,size,shape,description,elicit,explain,describe,features,contains,shroud,mystery,game,play,compete,win,lose,draw,shake,vibrate,wobble,table,chairs,sitting,school,lunch,food,fear,cabbage,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,water,river,girl,body,fishing,men,find,sheriff,police,crimes,violence,attacks,murders,news,newspaper,reporters,journalist,coverage,court,suspicion,suspects,criminals,sentencing,arrests,funeral,grief,flowers,casket,white,wooden,sad,calm,wake,food,guests,grievance,mourners,capture,arrested,caught,blamed,confession,husband,confesses,child,young,consiouse,aware,paranoid,suspectful,clues,hints,upset,fear,scared,truck,chased,man,harassed,bothered,irritated,fearful,run,drive,speed,escape,risks,scare,aware,knowing,strong,stubborn,possesive,drink,beer,alcohol,whiskey,glass,bottle,smashed,blades,scraps,hunt,scavage,find,idenitify,guess,secrets,hidden,hurt,family,protective,uncaring,unbothered,anger,angry,hate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,body,form,art,piece,museum,beauty,beautiful,louvre,paris,distraught,distance,far,american,ugly,nike,sculpture,samothrace,beauty,yearning,longing,trying,wistful,outsider,french,english,american,stuck,blocked,room,apartment,stuck,small,airplane,money,paris,hotel,architecture,beautiful,old,ancient,greeks,money,simple,ungrateful,childish,contentment,home,small,space,limited,unhappy,travel,joy,solution,safety,unavailable,desperate,alone,freefall,discovering,helpless,helpful,alone,lonely,empty,account,money,nothing,poor,strive,nothing,empty,wallet,abandoned,motherless,aware,fatherless,ugly,unwanted,unsexual,underlying,unaware,protection,facing,wrath,blocked,safety,persecution,prison,awaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,water,wet,ice,cold,snow,frost,scrape,scratch,cut,bruise,bump,fall,autumn,leaves,trees,park,bench,swing,slide,run,jog,trainers,shoes,clothes,shop,bag,trolley,supermarket,money,cash,coins,card,bank,deposit,mortgage,house,rooms,decorate,paint,wallpaper,roll,sausage,bacon,mushroom,eggs,tomato,soup,bowl,plate,saucer,flying,sky,tv,satellite,dish,meal,cook,chef,serve,tennis,court,law,judge,lawyer,office,work,meeting,presentation,powerpoint,word,excel,microsoft,xbox,playstation,games,play,family,children,school,study,desk,chair,sit,stand,coat,jacket,cold,breezy,wind,gusty,fall,fence,sword,knight,castle,princess,prince,queen,king,ruler,pencil,pen,sharpener,stationery,stationary,car,bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,body,head,toe,foot,leg,kick,punch,slap,stab,kill,murder,crime,parasite,disease,virus,bacteria,sickness,health,body,clean,soothe,rest,relax,enjoy,sleep,relaxation,calming,pleased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,body,figure,math,addition,subtraction,multiply,fractions,algebra,geometry,stories,reading,bedtime,sleep,comfy,chair,sofa,livingroom,spacious,hiking,outside,beach,mountains,trails,mix,snack,icecream,cookie,granola,apple,orange,fruit,veggies,zucchini,broccoli,beans,filler,botox,fake,young,old,tv,movies,funny,drama,historical,horror,documentary,comedy,suspense,thriller,preview,tag,clothes,store,bought,purchase,return,gift,love,boyfriend,girlfriend,couple,friends,family,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,water,pool,soak,sponge,sink,mud,ooze,sludge,distress,creep,shiver,cold,dark,night,stars,moon,space,flight,weightless,gravity,heavy,obese,unhappy,sad,sedentary,slow,crawl,baby,cry,loud,shout,vibration,shake,earthquake,core,apple,farm,plough,worm,life,growth,cyst,pus,illness,healing,hospital,doctor,study,university,men,hairy,boar,truffle,smell,unpleasant,recoil,fear,run,sweat,salt,sea,swim,quiet,peace,tranquil,nature,jungle,humid,wet,slick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,water,ocean,blue,sea,water,glass,clear,blue,cold,snow,mountain,cabin,wood,fire,hot,chocolate,warm,knit,scarf,yarn,pink,sweet,scent,flower,grass,field,games,football,soccer,ball,black,pencil,pigment,paint,mix,baking,flour,sugar,apples,autumn,leaves,trees,orchard,tea,herbs,cooking,fry,oil,steam,dumpling,veggies,wok,gourmet,michelin,fancy,cat,dog,collar,fabric,sewing,needle,thread,string,cheese,brie,camembert,gruyere,feta,greek,yogurt,blue,clay,pottery,wheel,water,paint,glaze,canvas,brushes,jar,dry,desert,pyramid,egypt,cleopatra,woman,hair,curly,beauty,sephora,makeup,palette,eyeshadow,brown,spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,water,tide,drink,moon,ocen,lake,sea,splash,cold,warm,waves,clear,blue,green,cool,nature,cup,bath,toilet,hose,shower,waterfall,lake,refreshing,silver,foams,noise,crash,beach,shore,gentle,lapping,boat,ship,relax,fish,rod,ship,jetski,swimming,swimwear,peirs,lighthouse,rocky,rockpools,shellfish,scrimps,dolphins,lapping,pressure,drown,ice,deep,snow,rains,mist,mostiure,salts,washpower,wheelhouse,river,creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,body,odour,smelly,fish,swimming,pool,snooker,sport,football,ball,toy,dog,cat,whiskers,pointy,mountain,climb,ivy,plant,green,colour,rainbow,gold,metal,hard,solid,gas,oxygen,breathe,lungs,body,person,woman,face,mouth,kiss,tongue,speak,words,book,story,magic,wizard,beard,shave,razor,cut,hair,ponytail,soft,stroke,boat,sail,wind,tornado,spiral,snail,foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,water,tasteless,clear,murky,river,stream,flow,wavy,tumultuous,dangerous,dark,slimy,green,moss,fish,crabs,fishing,hook,bait,worms,tackle,rugby,sport,cricket,football,baseball,basketball,hockey,skating,ice,cold,solid,slippery,helmet,puck,stick,bat,player,game,win,lose,team,coach,music,art,dance,pop,hip-hop,ballet,tap,shoes,dress,clothes,shirt,button,dress,naked,dressed,pants,underwear,bra,waist,legs,socks,colours,decorative,cotton,wool,suede,tulle,halloween,event,festive,scary,entertaining,amusing,special,memories,photos,family,kids,adults,parents,son,daughter,siblings,brother,sister,niece,nephew,uncle,aunt,grandmother,grandfather,family,age,generations,old,young,alive,dead,graveyard,tombstone,ground,casket,funeral,sad,melancholy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,water,begin,everybody,lie,house,home,call,answer,keeprungap,escape,hit,light,darkeness,red,pattern,mop,brush,door,book,leaf,cream,oil,window,door,wire,here,king,convoy,cars,luxurious,activity,white,lamborgini,rol;sroyce,dress,music,omit,perfume,phone,fan,cold,hot,speaker,bass,records,hundred,little,cup,cable,crow,ignore,mean,me,new,can,buy,climb,desire,gigher,retire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,water,work,trial,grownup,parent,friend,enemy,liar,trusting,fool,shame,victim,pity,love,hug,caress,sex,body,life,living,existing,feeling,experience,adult,fake,pretend,transparent,shame,love,wisdom,compassion,god,devil,evil,human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,body,car,hidden,cupcake,cutlery,scout,honour,reveal,inside,investigate,signature,fire,dementia,sandal,forest,path,zoo,region,nation,continent,viscous,invitro,fertile,vampire,sunshine,lingerie,violent,winner,gorge,niche,medalion,smoking,incident,massive,regal,chaos,annulment,gender,fender,height,score,vitamin,neutral,house,basket,negative,cost,respect,surreal,insurance,friction,slide,embalm,umbra,halo,arch,pillar,void,silent,transition,deviant,ramp,practice,saint,farce,jewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
